PLOT	BLOCK	CHECK	GENOTIPOS	LINEA	MM	FS	HM	EX	NS	PS	BG	EG	SA	PT
450	1	GENO	Inno3_28	Inno3_28	4	5/7/2015	4.6	81.9	669	4.2	356	90	22	11.1
451	1	GENO	Inno4_22	Inno4_22	4	5/7/2015	4.3	81.3	661	4.1	29	95	37	10.4
452	1	GENO	Inno3_31	Inno3_31	4	5/7/2015	4.5	81.3	605	3.8	573	80	39	11.9
453	1	LIVIA	LL99	LIVIA	NA	5/7/2015	NA	NA	NA	NA	NA	NA	NA	NA
454	1	GENO	Inno1_160	Inno1_160	4	5/7/2015	4.6	80.2	562	3.5	705	95	37	12
455	1	GENO	Inno2_19	Inno2_19	4	5/7/2015	4.3	81.6	648	4	226	98	59	11.3
456	1	GENO	Inno1_143	Inno1_143	4	5/7/2015	4.3	82.1	651	4.1	533	98	61	10.3
457	1	ARRAYAN	LL99	ARRAYAN	4	5/7/2015	4.9	80.7	557	3.5	630	78	40	9.7
458	1	GENO	Inno3_21	Inno3_21	4	5/7/2015	5	83	590	3.7	271	94	21	10.6
459	1	GENO	Inno2_45	Inno2_45	4	5/7/2015	5	81.8	533	3.3	767	74	46	10.4
460	1	KALENA	LL99	KALENA	4	5/7/2015	4.9	81.2	620	3.9	293	98	48	11.8
461	1	GENO	Inno3_44	Inno3_44	4	5/7/2015	4.7	81.7	613	3.8	371	93	35	11
462	1	GENO	Inno2_15	Inno2_15	4	5/7/2015	4.7	81.2	607	3.8	438	91	56	11.1
463	1	GENO	Inno2_13	Inno2_13	4	5/7/2015	4.7	81.2	667	4.2	208	97	42	12.3
464	1	GENO	Inno2_17	Inno2_17	4	5/7/2015	4.6	82.4	726	4.5	217	97	51	11.7
465	1	UMBRELLA	LL99	UMBRELLA	4	5/7/2015	4.6	80.2	590	3.7	323	96	52	10.4
466	1	GENO	Inno4_24	Inno4_24	4	5/7/2015	5.1	82.1	734	4.6	288	90	5	10.7
467	1	GENO	Inno3_42	Inno3_42	4	5/7/2015	5.1	80.8	647	4	124	99	22	9.9
468	1	GENO	Inno2_35	Inno2_35	4	5/7/2015	5	82.3	723	4.5	146	94	27	10.2
469	1	DANIELLE	LL99	DANIELLE	4	5/7/2015	4.8	82.8	595	3.7	287	94	38	9.1
470	1	GENO	Inno3_10	Inno3_10	4	5/7/2015	5.2	81.4	667	4.2	333	99	22	11.3
471	1	GENO	Inno1_166	Inno1_166	4	5/7/2015	5	81.5	579	3.6	375	88	37	10.9
472	1	GENO	Inno1_170	Inno1_170	4	5/7/2015	5	80.5	590	3.7	323	76	24	10.3
473	1	GENO	Inno1_112	Inno1_112	4	5/7/2015	4	82	502	3.1	412	89	29	9.1
474	1	GENO	Inno1_142	Inno1_142	6	26/7/2015	4.6	82.4	505	3.2	744	71	24	9.1
475	1	GENO	Inno4_28	Inno4_28	6	26/7/2015	4.4	78.9	559	3.7	263	93	60	10
476	1	CONCHITA	LL99	CONCHITA	6	26/7/2015	4.3	81.8	541	3.4	544	96	62	9.9
477	1	GENO	Inno3_41	Inno3_41	6	26/7/2015	4.2	82.7	582	3.6	226	93	28	9.9
478	1	GENO	Inno3_16	Inno3_16	6	26/7/2015	4.3	81.6	594	3.7	364	80	23	10.2
479	1	GENO	Inno3_25	Inno3_25	6	26/7/2015	4.3	82.3	579	3.6	490	93	21	11.3
480	1	GENO	Inno4_6	Inno4_6	6	26/7/2015	4	80.8	589	3.7	213	99	27	10.6
481	1	GENO	Inno3_6	Inno3_6	6	26/7/2015	4.9	81.2	582	3.6	583	91	44	11.1
482	1	GENO	Inno2_34	Inno2_34	6	26/7/2015	4.6	81.9	543	3.4	306	96	45	9.8
483	1	GENO	Inno1_156	Inno1_156	6	26/7/2015	4.3	81.8	662	4.1	381	91	29	10.7
484	1	CLE267	LL99	CLE267	6	26/7/2015	4.4	81.2	658	4.1	399	98	28	11
485	1	GENO	Inno4_13	Inno4_13	6	26/7/2015	4.1	81.9	650	4.1	336	93	17	10.3
486	1	GENO	Inno3_40	Inno3_40	6	26/7/2015	4.2	82.5	617	3.9	112	91	45	10.4
487	1	GENO	Inno1_44	Inno1_44	6	26/7/2015	4.4	79.5	487	3	764	82	32	10.6
488	1	GENO	Inno4_23	Inno4_23	6	26/7/2015	4.1	81.4	653	4.1	73	91	14	9.6
489	1	GENO	Inno3_23	Inno3_23	6	26/7/2015	4.8	81.6	538	3.4	491	84	54	9.9
490	1	GENO	Inno4_11	Inno4_11	6	26/7/2015	4.7	81.5	556	3.5	511	91	41	9.3
491	1	GENO	Inno1_153	Inno1_153	6	26/7/2015	4.4	82.2	558	3.5	69	94	49	8.7
492	1	DAYMAN	LL99	DAYMAN	6	26/7/2015	4.7	80.3	657	4.1	684	85	52	11.8
493	1	GENO	Inno4_20	Inno4_20	6	26/7/2015	4.5	80.6	671	4.2	357	93	43	10.9
494	1	GENO	Inno1_149	Inno1_149	6	26/7/2015	4.5	80.1	542	3.4	635	90	40	11
495	2	GENO	Inno3_17	Inno3_17	6	26/7/2015	4.5	81.5	574	3.6	326	98	30	11.5
496	2	DANIELLE	LL99	DANIELLE	6	26/7/2015	4.5	81.5	618	3.9	200	95	21	11.4
497	2	GENO	Inno3_22	Inno3_22	6	26/7/2015	5	80.5	609	3.8	231	98	20	11.5
498	2	GENO	Inno3_43	Inno3_43	6	26/7/2015	5.2	79.9	641	4	505	94	39	11.6
499	2	KALENA	LL99	KALENA	6	26/7/2015	5	81.8	549	3.4	288	93	22	10.3
500	2	GENO	Inno1_40	Inno1_40	6	26/7/2015	4.9	81.4	557	3.5	403	97	39	11.1
501	2	GENO	Inno3_12	Inno3_12	6	26/7/2015	4.7	82.2	544	3.4	320	95	17	10.4
502	2	GENO	Inno1_168	Inno1_168	6	26/7/2015	4.3	80.1	572	3.6	119	98	12	9.7
503	2	GENO	Inno2_31	Inno2_31	6	26/7/2015	4.5	81.8	605	3.8	196	100	24	10.3
504	2	GENO	Inno3_2	Inno3_2	6	26/7/2015	4.3	81.6	613	3.8	302	92	14	10.3
505	2	GENO	Inno2_6	Inno2_6	6	26/7/2015	5	80.7	627	3.9	361	96	60	11.1
506	2	ARRAYAN	LL99	ARRAYAN	6	26/7/2015	5.3	80.8	531	3.3	604	62	23	9.7
507	2	GENO	Inno2_38	Inno2_38	6	26/7/2015	5.5	81	615	3.8	494	88	43	10.7
508	2	DAYMAN	LL99	DAYMAN	6	26/7/2015	5.2	79.7	631	3.9	702	94	44	11
509	2	GENO	Inno4_14	Inno4_14	6	26/7/2015	4.9	80.7	633	4	192	95	25	11.4
510	2	GENO	Inno1_146	Inno1_146	6	26/7/2015	5.2	79.7	562	3.5	665	85	29	11.7
511	2	GENO	Inno4_8	Inno4_8	6	26/7/2015	4.7	82.2	581	3.6	397	92	4	10.2
512	2	GENO	Inno2_36	Inno2_36	6	26/7/2015	4.6	79.7	640	4	269	92	24	16.1
513	2	GENO	Inno3_4	Inno3_4	7	2/8/2015	4.5	81	561	3.5	527	88	34	11.2
514	2	GENO	Inno2_16	Inno2_16	7	2/8/2015	4	81.3	583	3.6	324	94	22	10.2
515	2	GENO	Inno4_7	Inno4_7	7	2/8/2015	3.7	81.7	710	4.4	73	97	17	10.7
516	2	GENO	Inno4_4	Inno4_4	7	2/8/2015	4.8	82.1	629	3.9	148	89	14	10.5
517	2	GENO	Inno2_3	Inno2_3	7	2/8/2015	3.9	81.9	561	3.5	429	91	31	9.9
518	2	GENO	Inno2_39	Inno2_39	7	2/8/2015	3.6	81.6	556	3.5	240	89	42	9.1
