cod_1	marker_1	marker_2
12_30715	M_12_30715	M_E_1
11_10419	M_11_10419	M_E_2
11_20712	M_11_20712	M_E_3
12_10506	M_12_10506	M_E_4
11_10006	M_11_10006	M_E_5
11_21126	M_11_21126	M_E_6
11_20434	M_11_20434	M_E_7
12_31160	M_12_31160	M_E_8
11_21446	M_11_21446	M_E_9
11_20769	M_11_20769	M_E_10
11_10522	M_11_10522	M_E_11
11_20169	M_11_20169	M_E_12
11_11481	M_11_11481	M_E_13
11_20563	M_11_20563	M_E_14
12_31497	M_12_31497	M_E_15
12_30871	M_12_30871	M_E_16
11_21261	M_11_21261	M_E_17
11_20173	M_11_20173	M_E_18
11_11073	M_11_11073	M_E_19
11_10399	M_11_10399	M_E_20
11_10648	M_11_10648	M_E_21
11_10342	M_11_10342	M_E_22
11_10651	M_11_10651	M_E_23
11_11402	M_11_11402	M_E_24
11_20419	M_11_20419	M_E_25
11_11100	M_11_11100	M_E_26
11_20080	M_11_20080	M_E_27
11_10876	M_11_10876	M_E_28
11_21340	M_11_21340	M_E_29
11_11323	M_11_11323	M_E_30
11_11480	M_11_11480	M_E_31
11_21370	M_11_21370	M_E_32
11_20715	M_11_20715	M_E_33
11_10072	M_11_10072	M_E_34
11_20252	M_11_20252	M_E_35
11_10112	M_11_10112	M_E_36
11_20595	M_11_20595	M_E_37
11_20794	M_11_20794	M_E_38
11_21145	M_11_21145	M_E_39
11_20647	M_11_20647	M_E_40
11_21101	M_11_21101	M_E_41
11_10926	M_11_10926	M_E_42
11_11016	M_11_11016	M_E_43
11_10158	M_11_10158	M_E_44
11_10335	M_11_10335	M_E_45
11_21305	M_11_21305	M_E_46
11_11314	M_11_11314	M_E_47
11_10276	M_11_10276	M_E_48
12_30325	M_12_30325	M_E_49
11_20659	M_11_20659	M_E_50
11_21212	M_11_21212	M_E_51
12_30927	M_12_30927	M_E_52
12_30767	M_12_30767	M_E_53
11_21267	M_11_21267	M_E_54
11_10409	M_11_10409	M_E_55
12_30150	M_12_30150	M_E_56
12_30863	M_12_30863	M_E_57
12_30864	M_12_30864	M_E_58
11_10946	M_11_10946	M_E_59
11_21324	M_11_21324	M_E_60
11_20713	M_11_20713	M_E_61
11_21121	M_11_21121	M_E_62
11_20392	M_11_20392	M_E_63
11_21421	M_11_21421	M_E_64
11_11350	M_11_11350	M_E_65
12_30098	M_12_30098	M_E_66
11_20018	M_11_20018	M_E_67
11_10024	M_11_10024	M_E_68
11_21168	M_11_21168	M_E_69
11_21061	M_11_21061	M_E_70
11_11273	M_11_11273	M_E_71
11_10477	M_11_10477	M_E_72
12_30524	M_12_30524	M_E_73
11_21203	M_11_21203	M_E_74
11_11375	M_11_11375	M_E_75
11_20298	M_11_20298	M_E_76
11_10783	M_11_10783	M_E_77
12_30869	M_12_30869	M_E_78
12_30929	M_12_30929	M_E_79
12_30930	M_12_30930	M_E_80
11_10095	M_11_10095	M_E_81
12_30635	M_12_30635	M_E_82
11_10845	M_11_10845	M_E_83
11_10819	M_11_10819	M_E_84
11_20676	M_11_20676	M_E_85
12_30580	M_12_30580	M_E_86
11_21355	M_11_21355	M_E_87
11_20545	M_11_20545	M_E_88
11_20829	M_11_20829	M_E_89
11_20826	M_11_20826	M_E_90
11_10778	M_11_10778	M_E_91
11_21012	M_11_21012	M_E_92
11_20536	M_11_20536	M_E_93
11_20897	M_11_20897	M_E_94
12_31292	M_12_31292	M_E_95
12_31210	M_12_31210	M_E_96
11_20132	M_11_20132	M_E_97
11_20232	M_11_20232	M_E_98
11_10676	M_11_10676	M_E_99
12_30673	M_12_30673	M_E_100
11_10129	M_11_10129	M_E_101
11_10462	M_11_10462	M_E_102
11_10817	M_11_10817	M_E_103
12_30133	M_12_30133	M_E_104
12_30569	M_12_30569	M_E_105
11_21339	M_11_21339	M_E_106
11_10270	M_11_10270	M_E_107
11_21069	M_11_21069	M_E_108
12_31250	M_12_31250	M_E_109
11_21404	M_11_21404	M_E_110
11_20118	M_11_20118	M_E_111
11_20531	M_11_20531	M_E_112
12_31115	M_12_31115	M_E_113
11_20379	M_11_20379	M_E_114
11_20725	M_11_20725	M_E_115
11_21419	M_11_21419	M_E_116
11_10851	M_11_10851	M_E_117
11_20722	M_11_20722	M_E_118
11_10451	M_11_10451	M_E_119
12_31305	M_12_31305	M_E_120
11_10327	M_11_10327	M_E_121
11_21326	M_11_21326	M_E_122
12_30752	M_12_30752	M_E_123
11_20113	M_11_20113	M_E_124
12_30576	M_12_30576	M_E_125
11_11098	M_11_11098	M_E_126
11_10143	M_11_10143	M_E_127
12_31440	M_12_31440	M_E_128
11_20092	M_11_20092	M_E_129
12_30797	M_12_30797	M_E_130
11_10454	M_11_10454	M_E_131
11_10687	M_11_10687	M_E_132
11_20139	M_11_20139	M_E_133
12_30877	M_12_30877	M_E_134
BmAg225	M_BmAg225	M_E_135
HVM62	M_HVM62	M_E_136
X1	M_X1	M_E_137
BmAg013	M_BmAg013	M_E_138
BmAg222	M_BmAg222	M_E_139
BmAg0606	M_BmAg0606	M_E_140
K02534	M_K02534	M_E_141
K06404	M_K06404	M_E_142
K09066	M_K09066	M_E_143
BmAg0321	M_BmAg0321	M_E_144
BmAc316	M_BmAc316	M_E_145
X2	M_X2	M_E_146
GMS001	M_GMS001	M_E_147
X3	M_X3	M_E_148
