cod	marker	chr	chr_x	chr_y	cM
M_1	M_11_10419	1	1H	1Ha	0
M_2	M_12_30877	1	1H	1Ha	17
M_3	M_11_20712	1	1H	1Ha	22
M_4	M_12_10506	1	1H	1Ha	39
M_5	M_11_10006	1	1H	1Ha	58
M_6	M_11_21126	1	1H	1Ha	59
M_7	M_11_20434	1	1H	1Ha	73
M_8	M_11_20769	1	1H	1Ha	74
M_9	M_11_21446	1	1H	1Ha	74
M_10	M_11_10522	1	1H	1Ha	80
M_11	M_11_20169	1	1H	1Ha	81
M_12	M_11_11481	1	1H	1Hb	0
M_13	M_11_20563	2	2H	2Ha	0
M_14	M_12_31497	2	2H	2Ha	0
M_15	M_12_30871	2	2H	2Hb	0
M_16	M_11_21261	2	2H	2Hb	10
M_17	M_K09066	2	2H	2Hb	15
M_18	M_11_20173	2	2H	2Hb	24
M_19	M_11_10648	2	2H	2Hb	26
M_20	M_11_10342	2	2H	2Hb	26
M_21	M_11_11073	2	2H	2Hb	28
M_22	M_11_10651	2	2H	2Hb	45
M_23	M_11_20419	2	2H	2Hb	50
M_24	M_11_11402	2	2H	2Hb	50
M_25	M_11_11100	2	2H	2Hb	61
M_26	M_11_20080	2	2H	2Hb	72
M_27	M_11_10876	2	2H	2Hb	76
M_28	M_11_21340	2	2H	2Hb	82
M_29	M_11_11323	2	2H	2Hb	83
M_30	M_11_11480	2	2H	2Hb	83
M_31	M_11_21370	2	2H	2Hb	103
M_32	M_11_20715	2	2H	2Hb	119
M_33	M_11_10072	2	2H	2Hc	0
M_34	M_11_10112	3	3H	3Ha	0
M_35	M_11_20595	3	3H	3Ha	1
M_36	M_11_20794	3	3H	3Ha	15
M_37	M_11_21145	3	3H	3Ha	38
M_38	M_11_20647	3	3H	3Ha	38
M_39	M_11_21101	3	3H	3Ha	43
M_40	M_11_11016	3	3H	3Ha	47
M_41	M_11_10926	3	3H	3Ha	47
M_42	M_11_10158	3	3H	3Ha	50
M_43	M_11_10276	3	3H	3Ha	61
M_44	M_11_11314	3	3H	3Ha	63
M_45	M_11_21305	3	3H	3Ha	64
M_46	M_11_10335	3	3H	3Ha	64
M_47	M_12_30325	3	3H	3Ha	72
M_48	M_11_20659	3	3H	3Ha	72
M_49	M_Bmag225	3	3H	3Ha	77
M_50	M_K02534	3	3H	3Ha	90
M_51	M_11_21212	3	3H	3Ha	117
M_52	M_12_30927	3	3H	3Ha	125
M_53	M_Bmag013	3	3H	3Ha	141
M_54	M_Bmag0606	3	3H	3Hb	0
M_55	M_K06404	3	3H	3Hc	0
M_56	M_12_30767	3	3H	3Hc	0
M_57	M_11_21267	3	3H	3Hd	0
M_58	M_11_10409	4	4H	4Ha	0
M_59	M_12_30150	4	4H	4Ha	11
M_60	M_12_30864	4	4H	4Hb	0
M_61	M_12_30863	4	4H	4Hb	0
M_62	M_X1	4	4H	4Hc	0
M_63	M_11_10946	4	4H	4Hd	0
M_64	M_11_21324	5	5H	5Ha	0
M_65	M_X3	5	5H	5Hb	0
M_66	M_11_20713	5	5H	5Hc	0
M_67	M_11_21121	5	5H	5Hc	5
M_68	M_11_11350	5	5H	5Hd	0
M_69	M_11_21421	5	5H	5Hd	1
M_70	M_11_20018	5	5H	5Hd	6
M_71	M_12_30098	5	5H	5Hd	6
M_72	M_11_10024	5	5H	5Hd	8
M_73	M_11_21168	5	5H	5Hd	9
M_74	M_11_21061	5	5H	5Hd	10
M_75	M_11_11273	5	5H	5Hd	12
M_76	M_11_10477	5	5H	5Hd	12
M_77	M_12_30524	5	5H	5Hd	32
M_78	M_11_21203	5	5H	5Hd	37
M_79	M_11_11375	5	5H	5Hd	39
M_80	M_11_20298	5	5H	5Hd	41
M_81	M_11_10783	5	5H	5Hd	43
M_82	M_12_30930	5	5H	5Hd	44
M_83	M_12_30929	5	5H	5Hd	46
M_84	M_12_30869	5	5H	5Hd	46
M_85	M_11_10095	5	5H	5Hd	50
M_86	M_12_30635	5	5H	5Hd	57
M_87	M_11_10845	5	5H	5Hd	59
M_88	M_11_10819	5	5H	5Hd	61
M_89	M_11_20676	5	5H	5Hd	65
M_90	M_12_30580	5	5H	5Hd	68
M_91	M_11_21355	5	5H	5Hd	73
M_92	M_11_20545	5	5H	5Hd	82
M_93	M_Bmag222	5	5H	5Hd	87
M_94	M_11_20829	5	5H	5Hd	93
M_95	M_11_20826	5	5H	5Hd	94
M_96	M_11_21012	5	5H	5Hd	103
M_97	M_11_10778	5	5H	5Hd	103
M_98	M_11_20536	5	5H	5Hd	105
M_99	M_11_20897	5	5H	5Hd	113
M_100	M_12_31292	5	5H	5Hd	115
M_101	M_12_31210	5	5H	5Hd	116
M_102	M_11_20132	5	5H	5Hd	120
M_103	M_GMS001	5	5H	5Hd	122
M_104	M_11_20232	6	6H	6Ha	0
M_105	M_Bmac316	6	6H	6Ha	1
M_106	M_HVM62	6	6H	6Hb	0
M_107	M_11_10462	6	6H	6Hb	20
M_108	M_11_10817	6	6H	6Hb	20
M_109	M_12_30133	6	6H	6Hb	20
M_110	M_12_30569	6	6H	6Hb	21
M_111	M_11_10676	6	6H	6Hb	32
M_112	M_12_30673	6	6H	6Hb	34
M_113	M_11_10129	6	6H	6Hb	40
M_114	M_11_21339	6	6H	6Hb	47
M_115	M_11_10270	6	6H	6Hb	47
M_116	M_11_21069	6	6H	6Hb	50
M_117	M_12_31250	6	6H	6Hb	52
M_118	M_11_21404	6	6H	6Hb	66
M_119	M_11_20118	6	6H	6Hb	79
M_120	M_12_31115	6	6H	6Hb	84
M_121	M_11_20531	6	6H	6Hb	84
M_122	M_11_20379	6	6H	6Hb	87
M_123	M_11_20725	6	6H	6Hb	91
M_124	M_11_21419	7	7H	7Ha	0
M_125	M_11_10851	7	7H	7Ha	20
M_126	M_11_20722	7	7H	7Ha	23
M_127	M_11_10451	7	7H	7Ha	37
M_128	M_12_31305	7	7H	7Ha	57
M_129	M_11_10327	7	7H	7Ha	58
M_130	M_11_21326	7	7H	7Ha	62
M_131	M_12_30752	7	7H	7Ha	66
M_132	M_11_20113	7	7H	7Ha	68
M_133	M_12_30576	7	7H	7Ha	69
M_134	M_11_11098	7	7H	7Ha	74
M_135	M_11_10143	7	7H	7Ha	81
M_136	M_Bmag0321	7	7H	7Ha	88
M_137	M_X2	7	7H	7Ha	117
M_138	M_12_31440	7	7H	7Ha	137
M_139	M_12_30797	7	7H	7Ha	155
M_140	M_11_10687	7	7H	7Hb	0
M_141	M_11_10454	7	7H	7Hb	3
M_142	M_11_20139	7	7H	7Hc	0
