,chr,pos
JHI-Hv50k-2016-461019,L.1,0
M_E_120,L.1,4.1567154306009
M_E_121,L.1,5.6965728570013
JHI-Hv50k-2016-462290,L.1,9.8226023112204
JHI-Hv50k-2016-463595,L.1,11.95396787737
JHI-Hv50k-2016-463320,L.1,11.95396787737
JHI-Hv50k-2016-463638,L.1,11.95396787737
M_E_122,L.1,14.9055974113423
M_E_125,L.1,20.7500430310912
JHI-Hv50k-2016-468551,L.1,22.2025420062678
JHI-Hv50k-2016-468564,L.1,22.2025420062678
JHI-Hv50k-2016-466668,L.1,23.5727479186427
JHI-Hv50k-2016-465418,L.1,24.2484647283407
JHI-Hv50k-2016-469069,L.1,26.3330049518169
JHI-Hv50k-2016-470283,L.1,28.4175477608049
JHI-Hv50k-2016-470691,L.1,29.0932670143426
JHI-Hv50k-2016-470398,L.1,29.0932670143426
JHI-Hv50k-2016-489799,L.1,35.0920337551074
JHI-Hv50k-2016-489616,L.1,35.0920337551074
JHI-Hv50k-2016-489798,L.1,36.4903033376637
JHI-Hv50k-2016-488809,L.1,38.6037211410185
JHI-Hv50k-2016-488697,L.1,38.6037211410185
JHI-Hv50k-2016-483031,L.1,38.6037211410185
JHI-Hv50k-2016-488887,L.1,38.6037211410185
JHI-Hv50k-2016-488873,L.1,38.6037211410185
JHI-Hv50k-2016-487430,L.1,39.2794379507165
JHI-Hv50k-2016-487408,L.1,39.2794379507165
JHI-Hv50k-2016-479451,L.1,40.6496438630914
JHI-Hv50k-2016-478027,L.1,40.6496438630914
JHI-Hv50k-2016-478809,L.1,40.6496438630914
JHI-Hv50k-2016-478267,L.1,41.573245585893
JHI-Hv50k-2016-478155,L.1,41.573245585893
JHI-Hv50k-2016-483272,L.1,41.573245585893
JHI-Hv50k-2016-483434,L.1,41.573245585893
JHI-Hv50k-2016-482729,L.1,41.573245585893
JHI-Hv50k-2016-481987,L.1,41.573245585893
JHI-Hv50k-2016-481749,L.1,41.573245585893
JHI-Hv50k-2016-481258,L.1,41.573245585893
JHI-Hv50k-2016-480771,L.1,41.573245585893
JHI-Hv50k-2016-480176,L.1,41.573245585893
JHI-Hv50k-2016-479764,L.1,41.573245585893
JHI-Hv50k-2016-479763,L.1,41.573245585893
JHI-Hv50k-2016-479753,L.1,41.573245585893
JHI-Hv50k-2016-479447,L.1,41.573245585893
JHI-Hv50k-2016-479018,L.1,41.573245585893
JHI-Hv50k-2016-478689,L.1,41.573245585893
JHI-Hv50k-2016-478345,L.1,41.573245585893
JHI-Hv50k-2016-475035,L.1,41.573245585893
JHI-Hv50k-2016-474991,L.1,41.573245585893
JHI-Hv50k-2016-474953,L.1,41.573245585893
JHI-Hv50k-2016-483191,L.1,41.573245585893
JHI-Hv50k-2016-482497,L.1,41.573245585893
JHI-Hv50k-2016-481919,L.1,41.573245585893
JHI-Hv50k-2016-481738,L.1,41.573245585893
JHI-Hv50k-2016-477827,L.1,41.573245585893
JHI-Hv50k-2016-478738,L.1,41.573245585893
JHI-Hv50k-2016-480947,L.1,43.2560982151192
JHI-Hv50k-2016-480145,L.1,43.2560982151192
JHI-Hv50k-2016-479209,L.1,43.2560982151192
JHI-Hv50k-2016-478140,L.1,43.2560982151192
M_E_127,L.1,48.6667079920732
JHI-Hv50k-2016-15068,L.10,0
JHI-Hv50k-2016-15051,L.10,0
JHI-Hv50k-2016-16542,L.10,7.75387320759599
