genotypes,sitio,anio,EX,PM,NS,IK,FR,VIS,PD,BG,ATL,amb,M_1120797,M_1120159,M_1111453,M_1120252,M_1121190,M_1120529,M_1121398,M_1121027,M_1120976,M_1110112,M_1110886,M_1120595,M_1120172,M_1120742,M_1110565,M_1120794,M_1120455,M_1120968,M_1120607,M_1110672,M_1120410,M_1110081,M_1110710,M_1110825,M_1110863,M_1120193,M_1121145,M_1120647,M_1121533,M_1111002,M_1110601,M_1121101,M_1121197,M_1111313,M_1111258,M_1111086,M_1110137,M_1111501,M_1120970,M_1110328,M_1120333,M_1120428,M_1120439,M_1120796,M_1120856,M_1121062,M_1121435,M_1111283,M_1120002,M_1120288,M_1110926,M_1110620,M_1110925,M_1111530,M_1120801,M_1110966,M_1111125,M_1120486,M_1120583,M_1121472,M_1110011,M_1111124,M_1110008,M_1110456,M_1121147,M_1111337,M_1110225,M_1111401,M_1111016,M_1120276,M_1110158,M_1110373,M_1110653,M_1121511,M_1110728,M_1121120,M_1111191,M_1110281,M_1120704,M_1110335,M_1111391,M_1121502,M_1110839,M_1121305,M_1120931,M_1111394,M_1110172,M_1120017,M_1111314,M_1120273,M_1120877,M_1111241,M_1120694,M_1110350,M_1120566,M_1120695,M_1120778,M_1110683,M_1110047,M_1120362,M_1120597,M_1120115,M_1121358,M_1120093,M_1120063,M_1121348,M_1110628,M_1121294,M_1120659,M_1111021,M_1110747,M_1120999,M_1121438,M_1120130,M_1110515,M_1110184,M_1121381,M_1121517,M_1120009,M_1121513,M_1121212,M_1120023,M_1121161,M_1111503,M_1110312,M_1121277,M_1120523,M_1110753,M_1120168,M_1120944,M_1110918,M_1121405,M_1110754,M_1110821,M_1111172,M_1110867,M_1120650,M_1110280,M_1120343,M_1111196,M_1111141,M_1120662,M_1120612,M_1110381,M_1111127,M_1121428,M_1120085,M_1120920,M_1121427,M_1110631,M_1121266,M_1121272,M_1111436,M_1110702,M_1110646,M_1121008,M_1120605,M_1110681,M_1111410,M_1121267,M_1110694,M_1111516,M_1110343,M_1110283,M_1121362
,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,2.29,2.9,6.03,6.03,8.23,8.23,8.23,8.86,9.63,10.8,10.8,12.46,16.33,19.15,19.15,26.9,28.44,28.44,32.83,37.17,39.45,39.45,39.45,39.45,41.68,42.06,42.47,43.23,43.23,43.99,46.31,48.63,51.73,51.73,52.5,53.27,54.4,54.4,54.4,54.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,58.01,58.01,58.64,58.64,59.89,59.89,59.89,59.89,62.99,64.19,64.19,64.19,65.52,65.52,65.52,65.52,65.52,67.57,68.32,69.6,69.6,69.6,70.23,70.71,70.71,70.71,72.26,73.53,75.45,76.2,76.2,76.2,78.53,78.53,78.53,80.89,81.66,81.66,85.99,87.24,87.24,88.82,91.25,93.43,93.43,98.49,98.49,98.49,99.89,100.66,102.21,102.98,107.63,109.14,111.42,111.42,111.42,114,114,114,114,114,114,122.14,123.68,123.68,126.27,126.27,126.27,127.1,127.1,130.19,130.19,130.82,130.82,130.82,131.59,136.66,136.66,136.66,137.28,140.91,141.54,144.64,148.89,150.37,155.85,162.15,162.15,162.15,166.22,167.77,167.77,168.4,168.4,169.32,173.17,173.17,173.17
Ana,EEMAC,2007,78.8,14.2,1060,48,67,1.53,453,311,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
PlArcher,EEMAC,2007,75,16.9,1121,42,51,1.48,485,346,-,EEMAC _ 2007,AB,AB,AB,AA,AB,AA,AB,AA,AB,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB
Aurore,EEMAC,2007,76.7,15.3,795,33,47,1.59,512,563,-,EEMAC _ 2007,AA,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA
Berolin,EEMAC,2007,79.1,12.5,678,34,51,1.59,329,864,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AA,AA,AA,AA,AB,AB
Bonita,EEMAC,2007,75.7,14.6,700,30,30,1.58,466,649,-,EEMAC _ 2007,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA
Bowman,EEMAC,2007,79.5,13.7,683,31,49,1.59,369,865,-,EEMAC _ 2007,AB,AB,AB,AA,AA,AA,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AA,AA,AA,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AA,AB,AB
Cheri,EEMAC,2007,80.7,13.2,866,42,71,1.54,441,339,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AA,AA,AB,AA,AB,AA,AB,AB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AB,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AB,AB
CLE176,EEMAC,2007,78.7,12.5,795,40,58,1.55,322,505,-,EEMAC _ 2007,AB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AB,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AB,AA,AA,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB,AA,AB,AB,AB,AA,AB,AA,AA,AA,AA,AB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AA,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AA,AB,AB,AB,AB,AA,AA,AB,AA,AA,AA,AB
