mrk.1,mrk.2,R2,diff.dist,LG,delta.bp
S01_153541,S01_153541,NA,0,lg.1,0
S01_156650,S01_156650,NA,0,lg.1,0
S01_293684,S01_293684,NA,0,lg.1,0
S01_293924,S01_293924,NA,0,lg.1,0
S01_294507,S01_294507,NA,0,lg.1,0
S01_378527,S01_378527,NA,0,lg.1,0
S01_382258,S01_382258,NA,0,lg.1,0
S01_385049,S01_385049,NA,0,lg.1,0
S01_385095,S01_385095,NA,0,lg.1,0
S01_393862,S01_393862,NA,0,lg.1,0
S01_455187,S01_455187,NA,0,lg.1,0
S01_469982,S01_469982,NA,0,lg.1,0
S01_598334,S01_598334,NA,0,lg.1,0
S01_651047,S01_651047,NA,0,lg.1,0
S01_669257,S01_669257,NA,0,lg.1,0
S01_683307,S01_683307,NA,0,lg.1,0
S01_811792,S01_811792,NA,0,lg.1,0
S01_827682,S01_827682,NA,0,lg.1,0
S01_839570,S01_839570,NA,0,lg.1,0
S01_955453,S01_955453,NA,0,lg.1,0
S01_955471,S01_955471,NA,0,lg.1,0
S01_1314461,S01_1314461,NA,0,lg.1,0
S01_1433706,S01_1433706,NA,0,lg.1,0
S01_1482512,S01_1482512,NA,0,lg.1,0
S01_1482537,S01_1482537,NA,0,lg.1,0
S01_1501284,S01_1501284,NA,0,lg.1,0
S01_1701388,S01_1701388,NA,0,lg.1,0
S01_1775088,S01_1775088,NA,0,lg.1,0
S01_1814915,S01_1814915,NA,0,lg.1,0
S01_1818795,S01_1818795,NA,0,lg.1,0
S01_1818820,S01_1818820,NA,0,lg.1,0
S01_2207723,S01_2207723,NA,0,lg.1,0
S01_2211215,S01_2211215,NA,0,lg.1,0
S01_2290277,S01_2290277,NA,0,lg.1,0
S01_2290523,S01_2290523,NA,0,lg.1,0
S01_2290535,S01_2290535,NA,0,lg.1,0
S01_3160446,S01_3160446,NA,0,lg.1,0
S01_3821144,S01_3821144,NA,0,lg.1,0
S01_4028168,S01_4028168,NA,0,lg.1,0
S01_4028291,S01_4028291,NA,0,lg.1,0
S01_4676372,S01_4676372,NA,0,lg.1,0
S01_4676401,S01_4676401,NA,0,lg.1,0
S01_12547108,S01_12547108,NA,0,lg.1,0
S01_12547128,S01_12547128,NA,0,lg.1,0
S01_14792738,S01_14792738,NA,0,lg.1,0
S01_15251372,S01_15251372,NA,0,lg.1,0
S01_25589984,S01_25589984,NA,0,lg.1,0
