,chr,cM
M_1,1,0
M_2,1,17
M_3,1,22
M_4,1,39
M_5,1,58
M_6,1,59
M_7,1,73
M_8,1,74
M_9,1,74
M_10,1,80
M_11,1,81
M_12,1,0
M_13,2,0
M_14,2,0
M_15,2,0
M_16,2,10
M_17,2,15
M_18,2,24
M_19,2,26
M_20,2,26
M_21,2,28
M_22,2,45
M_23,2,50
M_24,2,50
M_25,2,61
M_26,2,72
M_27,2,76
M_28,2,82
M_29,2,83
M_30,2,83
M_31,2,103
M_32,2,119
M_33,2,0
M_34,3,0
M_35,3,1
M_36,3,15
M_37,3,38
M_38,3,38
M_39,3,43
M_40,3,47
M_41,3,47
M_42,3,50
M_43,3,61
M_44,3,63
M_45,3,64
M_46,3,64
M_47,3,72
M_48,3,72
M_49,3,77
M_50,3,90
M_51,3,117
M_52,3,125
M_53,3,141
M_54,3,0
M_55,3,0
M_56,3,0
M_57,3,0
M_58,4,0
M_59,4,11
M_60,4,0
M_61,4,0
M_62,4,0
M_63,4,0
M_64,5,0
M_65,5,0
M_66,5,0
M_67,5,5
M_68,5,0
M_69,5,1
M_70,5,6
M_71,5,6
M_72,5,8
M_73,5,9
M_74,5,10
M_75,5,12
M_76,5,12
M_77,5,32
M_78,5,37
M_79,5,39
M_80,5,41
M_81,5,43
M_82,5,44
M_83,5,46
M_84,5,46
M_85,5,50
M_86,5,57
M_87,5,59
M_88,5,61
M_89,5,65
M_90,5,68
M_91,5,73
M_92,5,82
M_93,5,87
M_94,5,93
M_95,5,94
M_96,5,103
M_97,5,103
M_98,5,105
M_99,5,113
M_100,5,115
M_101,5,116
M_102,5,120
M_103,5,122
M_104,6,0
M_105,6,1
M_106,6,0
M_107,6,20
M_108,6,20
M_109,6,20
M_110,6,21
M_111,6,32
M_112,6,34
M_113,6,40
M_114,6,47
M_115,6,47
M_116,6,50
M_117,6,52
M_118,6,66
M_119,6,79
M_120,6,84
M_121,6,84
M_122,6,87
M_123,6,91
M_124,7,0
M_125,7,20
M_126,7,23
M_127,7,37
M_128,7,57
M_129,7,58
M_130,7,62
M_131,7,66
M_132,7,68
M_133,7,69
M_134,7,74
M_135,7,81
M_136,7,88
M_137,7,117
M_138,7,137
M_139,7,155
M_140,7,0
M_141,7,3
M_142,7,0
