"genos","g","g.1","g.2","g.3","g.4","g.5","g.6","g.7","g.8","g.9","g.10","g.11","g.12","g.13","g.14","g.15","g.16","g.17","g.18","g.19","g.20","g.21","g.22","g.23","g.24","g.25","g.26","g.27","g.28","g.29","g.30","g.31","g.32","g.33","g.34","g.35","g.36","g.37","g.38","g.39","g.40","g.41","g.42","g.43","g.44","g.45","g.46","g.47","g.48","g.49","g.50","g.51","g.52","g.53","g.54","g.55","g.56","g.57","g.58","g.59","g.60","g.61","g.62","g.63","g.64","g.65","g.66","g.67","g.68","g.69","g.70","g.71","g.72","g.73","g.74","g.75","g.76","g.77","g.78","g.79","g.80","g.81","g.82","g.83","g.84","g.85","g.86","g.87","g.88","g.89","g.90","g.91","g.92","g.93","g.94","g.95","g.96","g.97","g.98","g.99","g.100","g.101","g.102","g.103","g.104","g.105","g.106","g.107","g.108","g.109","g.110","g.111","g.112","g.113","g.114","g.115","g.116","g.117","g.118","g.119","g.120","g.121","g.122","g.123","g.124","g.125","g.126","g.127","g.128","g.129","g.130","g.131","g.132","g.133","g.134","g.135","g.136","g.137","g.138","g.139","g.140","g.141","g.142","g.143","g.144","g.145","g.146","g.147","g.148"
"genos",NA,0.764714020288232,0.0557045115946449,0.0737306706337697,0.0760281342855324,0.106266086441765,0.922329015514569,0.680065938517396,0.135977970414581,0.735347480326658,0.0876581446839637,0.0989467232965708,0.819212700551161,0.641155429815465,0.637264318135069,0.821703012032572,0.118756009364556,0.114298919872863,0.0710632764763778,0.0729985333172536,0.0729985333172536,0.424933440876922,0.143791071795136,0.150587222332122,0.150587222332122,0.272465522957487,0.24803203030306,0.307185156552733,0.331372792844671,0.30449075733634,0.334978506376869,0.0434140302267449,0.000204114301942973,0.179686323499641,0.276046725596543,0.183612026628104,0.0396231098809692,0.0102505025156132,0.00400213899498444,0.00015609995480397,0.0211585709780845,0.0211585709780845,0.0132500770097369,0.0132500770097369,0.000420964021014217,0.0229196793730274,0.00964286915358609,0.0270673651138254,0.0680639366889849,0.0128212226630815,0.0128212226630815,0.00501495886690624,0.0392453619208735,0.000701577617831054,0.0295835770799031,0.0136712334207575,0.00906266481937072,5.62320046821616e-05,5.62320046821616e-05,0.00584434465799914,0.00584434465799914,0.000736208083450176,0.00104761543991382,0.031344439921179,0.00340807042312871,2.79743172102103e-05,0.000762379303373788,0.00714941906763982,0.0209795908436401,0.035099902573392,0.00941390378306634,0.00575984921470293,0.00575984921470293,0.00808866849272758,0.0083600935760159,3.84130704258243e-05,0.000100496433132889,0.0147319935174054,0.0115620086288517,0.0115620086288517,0.0115620086288517,0.0115620086288517,0.00140766226752074,0.0113143501909804,0.00830744275108963,0.00404273558040438,0.00404273558040438,0.00404273558040438,0.00546965801268998,0.00693410324538881,0.00331243755235654,1.92739076855711e-05,0.0192898713069352,0.00195710491679526,5.25295539514965e-05,0.0480935985331413,0.0480935985331413,4.00064232628846e-06,0.011831728508558,0.0124100924720668,0.0656397187686692,0.0264205881807726,0.00562798465936216,0.0157844606959706,0.00296739041341071,0.0367988732498896,0.00541201299337217,0.0228673757029276,0.0206511434759183,0.00888862082284806,0.00980890317111693,0.015473144491457,0.0137059237502659,0.000755599818852295,0.0319447646589528,0.0332810828836714,0.0146063978624519,0.00815639833743355,0.0103034338842199,0.00210589543219913,0.00106427034998472,0.000104572377795484,0.00742501053052953,0.000784562027553674,0.00606327080164187,0.0128092258807899,0.00154022853836791,0.0215354246172848,0.0124891076377142,0.000515722705172988,0.00237910780467307,0.002016758209422,0.00133227747057562,0.0139330987070037,9.76010650110305e-05,0.0592290330732778,0.0122425556458735,0.00755764285517621,0.00755764285517621,0.00991929865120752,0.00991929865120752,0.0113143501909804,0.0617253279952663,0.00388219628109977,0.00388219628109977,0.00388219628109977,0.00596198887703533,0.0358347534553295,0.0110853128485115,0.000554932575851693
"g",NA,NA,0.0638442594468131,0.0845083181347375,0.0444674606248623,0.121804881565748,0.880763041703088,0.517196327531931,0.155864725805028,0.745867151234093,0.0657591462264125,0.113414421819987,0.703423474057114,0.734968552628536,0.730508025671397,0.810847845358228,0.136122547507054,0.0534586076859286,0.081450584600483,0.077223622862604,0.077223622862604,0.193545899473223,0.10088483029021,0.0558151789406084,0.0558151789406084,0.176852983642092,0.246161898772519,0.24563661362119,0.158347817290844,0.142385186438531,0.0973832191618096,0.0686326599729437,0.00479533650197332,0.0489098159455811,0.164765488676794,0.126242009146509,0.000103548643267692,0.0355483787988308,0.000647581363136436,0.000314766409369854,0.0840137591512215,0.0840137591512215,0.0152121561817532,0.0152121561817532,8.79827961135374e-05,0.00126479920742847,0.0110678589209063,0.00060896746652046,0.0587338236688193,0.00417450541149148,0.00417450541149148,0.000517978034002523,0.00354006482116058,0.000621908604162063,2.93666973324435e-07,7.41930257902713e-05,0.0104140238482792,0.00655292136260312,0.00655292136260312,0.000406233698881134,0.000406233698881134,0.00347771970893864,0.00397282718845584,0.00550072356780215,0.0114592380026822,0.00375008513253464,0.00234286480707293,0.00716421907240245,0.00143019564538912,0.00783288213938466,0.000403678224291783,0.0239577983357951,0.0239577983357951,0.000886207686023117,0.00381753439011539,8.92914455056441e-05,0.00317566087260489,0.0169135157547129,0.013272997010393,0.013272997010393,0.013272997010393,0.013272997010393,0.00536501866790179,0.0129884315943924,0.00954618852758912,0.00166807180099545,0.00166807180099545,0.00166807180099545,0.00267501957584537,0.0218093174676557,0.00421687677469529,0.00915241719427773,0.00460405024579142,0.0101977396134658,0.011440853031315,0.000445292566468278,0.000445292566468278,0.00226189410518157,0.00452807830606925,0.017778416508635,0.0326954018465838,0.0398154530921741,0.00235293068223106,0.01457476226043,0.0107151478450104,0.0252915161847398,0.0430511752337768,0.0041648386061491,0.000676908838522606,0.00171737057965753,0.00460995030533172,3.98829528921151e-05,0.000267931626044968,1.73975423296151e-05,2.49778602993256e-05,0.00782016162294224,0.0144778557148417,0.00937262146345094,0.00591806241585964,0.00716475865158599,1.45432215437043e-05,0.00155457383663898,0.00532057409089281,0.00346640264488204,0.000568338510082023,0.0503555039793176,0.0122809925301465,0.025349559521183,0.0156265289528957,0.00264326702541048,0.000459223672141875,0.000578405163335377,0.00432849366454788,0.0174032712653977,0.000480454399146916,0.112538595777297,0.0140549614585886,0.0116451754180423,0.0116451754180423,0.000794764290013103,0.000794764290013103,0.0129884315943924,0.00743432347932518,4.38750949763451e-08,4.38750949763451e-08,4.38750949763451e-08,0.00590200876689298,0.00623510092145484,0.0127252622188648,0.000615359400794953
"g.1",NA,NA,NA,0.755502970556945,0.732698915863285,0.347028031119017,0.0339920188947716,0.0199461170213235,0.444000058099646,0.0476001396954251,0.544817696416987,0.323139490758442,0.0679120220410413,0.0566460629305684,0.0872896910448785,0.0677065794766561,0.350275867216493,0.438229691915486,0.19034079765686,0.423596150343336,0.423596150343336,0.000236090901527292,0.00766374332053743,0.048424169435527,0.048424169435527,0.000451416612874786,6.56183799651097e-06,0.000245560921095245,0.000338287486777338,0.00136062526910436,0.000108824355499051,0.0293480788835061,0.0126522304109997,0.000338090726344345,0.010154275580857,0.029307828321673,4.28763289121926e-05,0.0147577693426524,0.0439225640358827,0.0343136764324029,0.0100811052389307,0.0100811052389307,0.0135129730610577,0.0135129730610577,0.00249586738046031,0.0849492009823343,0.0174283919838215,0.00473098945324626,0.0517975253721324,0.00248891058157734,0.00248891058157734,0.113810249727623,0.00396439601867775,0.0625816801197737,0.0692486557486123,0.0362043576932124,0.00867318486392238,0.0156995399996831,0.0156995399996831,0.00122801658268995,0.00122801658268995,0.0139109441774145,0.0191133161451358,0.0295689600054139,0.0179690303351005,0.0558818812227745,0.0291896615436118,0.0537351164284358,0.000586744618116202,0.0330097354256142,0.00795839552518651,0.000314490072056977,0.000314490072056977,0.0446824362843846,0.0255489947214923,0.00168495481531372,0.00174944563879581,0.00759404250227995,0.00627518455284757,0.00627518455284757,0.00627518455284757,0.00627518455284757,0.00513600526479926,0.037177860001765,0.00852184329633869,0.00304278151325172,0.00304278151325172,0.00304278151325172,0.00482259936007103,1.02805520669378e-05,0.0117032363033775,0.0461721058699366,0.0108719582426557,0.0470861740973483,0.0198159643874294,0.0444475231095153,0.0444475231095153,0.00476829706091923,0.0536691579172999,0.0343396615030475,0.010162794125467,0.00196630365903088,0.0371417615352894,0.0286365821499762,0.00272210470501924,0.0300512951657043,0.0227181696342821,0.0286620712103794,0.0195354978535022,0.0476902533570431,0.015361130905759,0.0472812410644769,0.0401021284440042,0.00411152597591537,0.0219119019959517,0.00462944622929228,0.0155003522156148,0.101482910121631,0.0227026432677585,0.0373832804718503,0.00294903562787301,2.07465153377903e-05,0.000765250431669392,0.0181022385532911,0.0335568603048597,0.000350014141113743,6.02482729795863e-05,0.00349828468479799,8.96846290117497e-06,0.0669104708365705,1.05530880962001e-06,0.001810448035658,0.0350491163271462,0.00358096463737131,0.00287193114907808,0.0162426226056861,0.0113092246151276,0.0765727128600159,0.0765727128600159,0.0160431757107793,0.0160431757107793,0.128214764847093,0.106503791976581,0.0449612894683201,0.0449612894683201,0.0449612894683201,0.000391774118063979,0.00329480140066166,0.00536939423968453,0.0446324109719576
"g.2",NA,NA,NA,NA,0.969307703749869,0.459079166101753,0.0481138685726387,0.014007650164998,0.587369627807161,0.0630291466268365,0.756107002926072,0.427475496803282,0.089894346032548,0.0741709571892319,0.115546425419881,0.0896223244132568,0.480134457092366,0.547707263338357,0.265602291720768,0.632120843252765,0.632120843252765,0.00905674120833335,0.0531751793235208,0.104961028322154,0.104961028322154,0.00385549694050757,2.18279584615125e-05,3.00994938604645e-05,6.27109901263866e-05,0.00022860571916983,0.00151213064465264,0.03888117049677,0.0342119323705201,0.0131276608073434,0.047236609476472,0.0999117897828507,1.94191592552858e-05,0.0146613480334379,0.0391922443190341,0.0314834845694927,0.000181635607855831,0.000181635607855831,0.00201583765928959,0.00201583765928959,0.00126605016160257,0.124451558304001,0.0110045335978038,0.00860049136527642,0.0685870638716044,0.0410487618833499,0.0410487618833499,0.105829607332893,0.045465706857955,0.0801524501306401,0.0968197178760069,0.0758526892486433,0.0081704633017138,0.0259527980722302,0.0259527980722302,0.000950786363235743,0.000950786363235743,0.0293557799419984,0.0184765079150162,0.0447768294740136,0.0302606524778633,0.0507545324044335,0.0359820478029739,0.0228748061352714,0.0177273755964075,0.0166938104287061,0.000290922321138999,0.00319782591731929,0.00319782591731929,0.00635789263959933,0.00612429149770204,0.00215728211263008,0.00435075120460461,0.00167837149827057,0.0111765990027816,0.0111765990027816,0.0111765990027816,0.0111765990027816,0.00736688374711336,0.0492256258940301,0.011645660777179,0.0222994749290986,0.0222994749290986,0.0222994749290986,0.00614207959626737,0.00364737490612884,0.000137053402394437,0.0342099232903452,0.00213771995295921,0.00615248160419546,0.00382896154498891,0.0516778985345261,0.0516778985345261,0.0821892319429848,0.0212930940054943,0.0173366891563601,0.000125805888041771,0.00293228541627913,0.028752665101773,0.00733148353193601,0.000392062985189214,0.00807206845520715,0.0104565581969492,0.0479514426413159,0.0280605093231522,0.0364395149124185,0.014131606031517,0.053833026658851,0.0454383794315928,0.00848332951162317,0.0331444585186138,0.00850728032297601,0.0279659691068303,0.0551763410289603,0.000607952804667504,0.0326969498192996,0.000996187540399036,0.00120197359737753,0.000829629281905145,0.0137511836324454,0.027795187424652,2.6094557252348e-05,0.00131029910704444,0.00210736151193103,1.86092490601505e-07,0.0606481617186023,0.00112570196332199,0.00963415061995978,0.018620200704761,0.00276379420666908,0.000373355367716287,0.0122419162026975,0.00869001371559116,0.012281201392842,0.012281201392842,0.00801930573198805,0.00801930573198805,0.0628960651578361,0.0390424995657722,0.00113484251135586,0.00113484251135586,0.00113484251135586,0.0106618845874804,0.000647176742060894,0.00180863847942377,0.00716782400664097
"g.3",NA,NA,NA,NA,NA,0.425193552163411,0.0473594019139473,0.0163859981848473,0.54762559393395,0.0347940950808159,0.782140985768052,0.440773290563339,0.0926960295642822,0.081397256786832,0.119147792983218,0.0924155223322824,0.40698741483156,0.597869231262582,0.240829660069401,0.546871847615398,0.546871847615398,0.000599855292406634,0.0441994272403415,0.0476108898122485,0.0476108898122485,0.00308068542094734,0.000142631581959813,0.00503691874640345,0.00484143049037047,0.00130932716186149,0.000982651712252584,0.0400961804225952,0.0173179589164,0.00023915950128703,0.0168073173704373,0.0492898113727701,0.0149232858764736,0.0136255099423252,0.0694086444003028,0.0459045064433313,0.000153559745628957,0.000153559745628957,0.000336733745892857,0.000336733745892857,0.00409025742688046,0.0418107524387137,3.22739946997691e-05,0.00701011281605619,0.0196636938135935,0.00489302242913647,0.00489302242913647,0.139180921432278,0.0119514314500215,0.0714048480526312,0.0612142012477207,0.086130942610337,0.0128283787460132,0.0187099540567235,0.0187099540567235,0.0153005090858686,0.0153005090858686,0.0304330271594514,0.0242359152108406,0.0541093526407891,0.00656319356983463,0.0299277576329422,0.0229804365282071,0.0540197473631831,9.92272680160578e-05,0.0425344887123945,0.00310084459046218,0.00499247648920693,0.00499247648920693,0.0344436787690094,0.0219311009779301,0.000416056121693049,7.05549488146005e-05,0.00484838799982827,0.0118199277760974,0.0118199277760974,0.0118199277760974,0.0118199277760974,0.0113703444167436,0.0507611340358722,0.0374973539137236,0.00546224745905264,0.00546224745905264,0.00546224745905264,0.0121827335977619,0.00204820661968141,0.00421240907366254,0.0458450221182575,0.0142946353275573,0.012714479291266,0.0322168779730156,0.0305802106520536,0.0305802106520536,0.0117875345510747,0.0453465538760584,0.032788689473708,0.0137712775302382,0.0104152918792745,0.0326515720139355,0.0254874338952909,0.000760388392716016,0.0195440900673786,0.0236673293988093,0.038565600826091,0.0588657689575713,0.0888352669031766,0.0429449071846847,0.0620459796249334,0.0464488624015919,0.0293846104531134,0.0483472117624411,0.0313154193002907,0.0340792770254412,0.0690474604118747,0.0123433580887679,0.0317422207486813,0.00219133168790637,0.00369709468267653,0.00764485927304499,0.00120219140437331,0.00973955413991957,0.000294394504109986,2.4733673480116e-05,0.00819896895158395,0.00207170736529333,0.0405463620288464,0.005909696726501,0.0166880276687426,0.0478529303846912,0.0013764944086634,0.00147619245196781,0.0118118160608896,0.0188715717982792,0.031304648876192,0.031304648876192,0.024266638179142,0.024266638179142,0.0791420092928509,0.0182821319012552,0.00763716431743208,0.00763716431743208,0.00763716431743208,0.0120712592317072,0.00178025764829343,0.0010276146160712,0.00385040855196902
"g.4",NA,NA,NA,NA,NA,NA,0.107393674816774,0.0954002727645224,0.78110296404514,0.0908769839696527,0.4471814008345,0.930602411210865,0.129570247854211,0.0982359749259548,0.0385189877207162,0.0855331660520793,0.0883723351701855,0.234323448081183,0.571925406388645,0.159861187466199,0.159861187466199,0.0805801813380811,0.0100290605647415,0.0032256245278741,0.0032256245278741,0.152246787647544,0.0709530351145088,0.170129282367207,0.0789151153912275,0.0814466046706876,0.0732227761104017,0.00505992804817953,0.0499613389236653,0.036999400130042,0.103696872364492,0.023639037776262,8.63432229984024e-05,0.00113209177970933,0.0596021528011546,0.0276287731288006,0.0730529641573696,0.0730529641573696,0.0641649741100651,0.0641649741100651,0.00944977231519715,0.000222801799364815,0.00276979239051508,0.0177721009095397,0.00701436594340041,0.00382560044802789,0.00382560044802789,0.0145515176585475,0.0064113193411337,0.0125225567772113,0.0015633032354427,0.0046648846550321,0.0178375317137931,0.00143764441981478,0.00143764441981478,6.07246442025275e-05,6.07246442025275e-05,0.00765242113512747,0.00273819845194067,0.0487279444003126,0.00931401289887008,0.0174404331179264,0.0130366381771924,0.0209554934434565,0.00148051369001858,0.000169788261775893,0.012951345722694,0.00533239990595164,0.00533239990595164,0.00181107712486417,3.66036564652377e-06,0.000102299494560565,0.00269226056287958,0.0491999350923687,0.0186297457255024,0.0186297457255024,0.0186297457255024,0.0186297457255024,0.0108587071089403,0.0443122311743922,0.0360659834946669,0.0087318122750266,0.0087318122750266,0.0087318122750266,0.0232622452275975,0.0483946255807247,0.0280077888673791,0.0834404980240583,0.0558012560180035,0.0388710375131186,0.0183899811372563,0.0705622955235889,0.0705622955235889,0.0127219103074796,0.0101659004797776,0.0101643230063164,0.000290664049518132,0.0201565066914757,0.0346532475886017,0.0117084440119331,0.0101496652275804,0.00660304748596077,0.00664902031831685,0.0627263819605756,0.0399726822606231,0.0718823583379097,0.0315764428853727,0.0719876325584646,0.068012763116057,0.00542139303016717,0.0356193056169794,0.00926308817514649,0.0459363411221067,0.0514985146411345,0.000172538400280962,0.0317860330367948,0.00176639770715969,0.00860677676807906,0.013124654800732,0.00454866773933598,0.0255203809991195,0.000276006903304168,0.000139673677070386,0.0109961064311293,0.00635406193371149,0.0480070899197015,0.000323330425625009,0.000599358952210895,0.00421516614193946,0.0148145585017244,0.001440937638092,0.00963689270198821,0.00101776654838823,0.0415984966978078,0.0415984966978078,0.0519569489808285,0.0519569489808285,0.0214850048095517,0.0497515914894369,0.0145968330676935,0.0145968330676935,0.0145968330676935,0.00536922439126878,0.0289677956928444,0.0305762417386142,0.00677296738211086
"g.5",NA,NA,NA,NA,NA,NA,NA,0.773231377416529,0.137421072939792,0.743943447742818,0.0885881330594205,0.0999965864591357,0.827911157130658,0.647963074172764,0.644030642295353,0.830427913538327,0.120016229767241,0.115511809892977,0.0718170419635658,0.0734016390766296,0.0734016390766296,0.562885765457442,0.186218358698509,0.151011914737955,0.151011914737955,0.349456797493395,0.366009955087164,0.39232107594004,0.346748639444284,0.291637341193472,0.329935696075445,0.0379882706598191,0.00160329503821085,0.2623491765396,0.34699078275096,0.223929732045407,0.00246332117777786,0.0277755524420417,0.00042463069731365,0.000179985788045121,0.0224954668280319,0.0224954668280319,0.0133924567514504,0.0133924567514504,0.00220985686294808,0.0340560549760246,0.0097462747280097,0.0273539334423898,0.107061416160849,0.0362708451330575,0.0362708451330575,0.029075259151922,0.0249468718372653,0.00266479415052782,0.00179540937040299,0.00330981279032208,0.00916072661172127,0.00144947729155031,0.00144947729155031,0.00157840834958876,0.00157840834958876,4.02513117430134e-06,0.00100805752232593,0.00821160332700316,0.000692474160716682,0.00273366131377276,0.00153937906469189,0.0103032372626205,0.0110942013929546,0.0147417052524303,0.000295580372975585,0.00725806723137709,0.00725806723137709,0.00319196304165297,0.0106614067019141,0.000772196849391705,0.000346284298225632,0.014890297309179,0.0116861678315082,0.0116861678315082,0.0116861678315082,0.0116861678315082,0.000475398609881131,0.0114358312215396,0.00839733272741076,0.0192096336165277,0.0192096336165277,0.0192096336165277,0.00844672456956631,0.0159043522762176,0.00407401632182544,0.000185219501308546,0.00317806473617016,0.00018084713174505,0.000119703570867725,0.0166058935661611,0.0166058935661611,7.58894439120536e-05,0.00984222968921916,0.00562428481134082,0.0779636181277953,0.02351205561146,0.00192448704205422,0.00663490721633776,0.00624978257696603,0.0129219955604503,0.0123528415227467,0.00773765897258638,0.00465684814133174,0.000741645618712258,0.000742044324059583,0.00820266382473388,0.00986510893092969,5.76662779558931e-05,0.0106283804060315,0.0120838179443214,0.00523737286146421,0.00824465395054875,2.20925360085774e-06,0.00128714009027416,0.0018187332828418,0.0125047388255267,0.000286105688021728,0.000478013070265668,0.00969519231920752,0.000756085952814543,0.00154862453059964,0.000485367486906667,0.00045667389220532,0.000488667177907498,0.000294419070090439,0.00109096936716801,0.00285305946627069,0.0209101277635094,0.00029780393979369,0.0577901317997754,0.0123740742509512,0.00428876798892738,0.00428876798892738,0.00326921386953883,0.00326921386953883,0.0114358312215396,0.012556095539133,2.9405424545681e-09,2.9405424545681e-09,2.9405424545681e-09,0.0148710816383286,0.0258055421879667,0.0112043170720014,0.00449164722684014
"g.6",NA,NA,NA,NA,NA,NA,NA,NA,0.12209718584183,0.73703651531405,0.0786805442886896,0.0888236305959429,0.618164542321924,0.485655480440716,0.572516404780036,0.61821936575358,0.106622801401336,0.0634781324407819,0.0637696210161758,0.0308016696540408,0.0308016696540408,0.265893767056052,0.0717122106157093,0.0685965698497514,0.0685965698497514,0.102195205011157,0.130461640170885,0.189820356042247,0.224173593123516,0.164401249537421,0.188879459617733,0.0381753944543567,0.000136187527626602,0.134552883235312,0.219936853761105,0.108299032253868,0.0433937793322099,0.00362662293471217,0.00352915778828642,0.00466654628457953,0.00725502940848571,0.00725502940848571,0.011898870554887,0.011898870554887,0.0155868852956262,0.0207114138350925,0.00866153250218272,0.0242382383256508,0.0521445529514707,0.0187663550635112,0.0187663550635112,0.0102083434122382,0.0107521288904482,0.00548172554025817,0.0554439255659923,0.0258683494960131,0.0081320485883687,6.48156388008147e-05,6.48156388008147e-05,0.00215124623713852,0.00215124623713852,0.000374611549694892,0.000402386264208035,0.0280812758747206,4.55745577566094e-06,0.000674462942254071,0.000481703517367743,0.0267196800589184,0.0375617065071824,0.0314556404859647,0.0219155884602079,0.0349198073317726,0.0349198073317726,0.0257959833044177,0.0291965312618795,0.000797322018411076,0.00225699096390032,1.80914595557385e-05,0.0103837174805483,0.0103837174805483,0.0103837174805483,0.0103837174805483,0.0242349015965067,0.0101614752201162,0.00745437787267097,0.025396662903108,0.025396662903108,0.025396662903108,0.0200666987229283,0.00783043580195676,0.0263118343214606,0.00625592392359522,0.00171829421500537,0.000250641198372413,3.32659894322027e-05,0.0438690585284897,0.0438690585284897,0.00395426780860871,0.000409067594420785,8.40003094477213e-05,0.0493470627986214,0.0315204090118835,0.000344939274855805,0.000643441927441052,0.00146920336823182,0.00136878480115509,0.00490185704587772,0.0414333963616079,0.0550052307922981,0.0459254200428742,0.0404920974566472,0.0348202755697662,0.0312454906810938,0.0317503070950218,0.0286206803444783,0.0298213909877459,0.0316667723201544,0.00731884372953146,0.00576022618942755,0.0016165258147816,0.00394106683988091,0.0352480421953895,0.0422770323051738,0.0843127136421612,0.012848199556788,0.0877995484565541,0.0645025598840702,0.0601926080931697,0.0334359864429071,0.134935673574581,0.00111873107717899,0.000369600433762066,0.00802104419390295,0.00340908437352286,0.000704215989726689,0.0186793046867824,0.0109944228857345,0.000803688092876989,0.000803688092876989,0.0154913803494748,0.0154913803494748,0.0101614752201162,0.00313586855582713,1.15962963715487e-07,1.15962963715487e-07,1.15962963715487e-07,0.00875369452988529,0.00336601258967227,0.009955943078138,0.00687314314424962
"g.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116308095133812,0.62007888971922,0.727352823211225,0.0995823199396121,0.0497284362400677,0.0171597868178686,0.0801230375107066,0.121585786391446,0.359252309668617,0.445701055835305,0.309105574212033,0.309105574212033,0.0807382587909564,0.000223959304098786,0.0184851635428335,0.0184851635428335,0.0599849394270123,0.0494599728606036,0.191286019398684,0.147732525408602,0.117895538554067,0.161198979047339,0.00310314327871918,0.0340094606894943,0.000727132980398738,0.0496240204955585,0.000198618366408439,0.00158896634037756,0.0263954646429395,0.0792624191656229,0.0348324170823772,0.0267797969822631,0.0267797969822631,0.0193671672808612,0.0193671672808612,0.00271728290306214,0.00708060832636083,0.00563961169384316,0.00697156838643528,0.0274019118183471,0.0142310618789756,0.0142310618789756,0.00905739810184762,0.00114890036008348,0.000136199339080069,0.00164577359875867,0.000472914892604425,0.00734492955549035,0.0171567280859009,0.0171567280859009,0.00592833515063355,0.00592833515063355,0.0169015715364073,0.000803146965923847,0.0457300662008248,0.0235202397100928,0.0649460244143757,0.00627545389011683,0.000530808053634408,0.0250951425392766,0.000154799065465575,0.00458886451285682,0.00871397153278754,0.00871397153278754,0.000291404713427975,4.16182548996225e-05,0.00127931241724495,0.00524340011446971,0.00701843763189397,0.0160843682662061,0.0160843682662061,0.0160843682662061,0.0160843682662061,0.00453678424752793,0.0120505288610169,0.0210400844956557,0.00376820279016395,0.00376820279016395,0.00376820279016395,0.031225938257168,0.00795839011265634,0.0248750739328567,0.0752169327315947,0.0478982898700236,0.0261580669124941,0.023355726992499,0.0922560783941122,0.0922560783941122,0.0356548859483078,0.050491590068362,0.0320279387217945,3.86302868356516e-07,0.0147711202055726,0.0418962188546587,0.0366700131471608,0.0001433869442162,0.023128510586497,0.00040877139378592,0.0511463662595248,0.0281390385393233,0.0673701820106049,0.0300729389831591,0.0649038851035863,0.0339322643176491,0.00969577749612647,0.0322910058067347,0.0102091563768716,0.0277672862660457,0.0101201746961381,0.00911136689349221,0.0655256813670121,0.000510233818330813,0.00172120924040176,0.00586510418712984,0.0250614020840324,0.0319433956936053,0.0157579512476602,0.00724897989106253,0.0244500999825136,0.00876945813054203,0.0614564499484778,0.000784337525243013,0.00672535566939886,0.00730842956694118,0.0321140078810191,0.00342510368789422,0.00608084202745693,0.000170236045448005,0.0459652158787183,0.0459652158787183,0.0244434293494664,0.0244434293494664,0.0908285810405916,0.108631417548372,0.00602583550159643,0.00602583550159643,0.00602583550159643,5.99989938329913e-06,0.0289766402043249,0.00531859652535356,0.00830828570077668
"g.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050170054926909,0.0846121653521694,0.603058626520166,0.46953079549809,0.419158646699928,0.587452915575956,0.101567409955583,0.0377706633421891,0.0607460613990292,0.0305102708698991,0.0305102708698991,0.185850555277286,0.0670798647762921,0.0679916620198017,0.0679916620198017,0.196572847652705,0.213707006016432,0.23732996121049,0.208393846831951,0.200712520268388,0.16846629709383,0.0685919460902665,0.00645291004342987,0.130723924882212,0.176647110090548,0.134269365404436,0.00034425714414673,0.00089066610473421,0.00299792331005317,0.0077685947071517,0.0339794738752886,0.0339794738752886,0.0113276203101088,0.0113276203101088,0.000735101273872191,0.00256180671948716,0.00824665149487886,0.0230890115084864,0.10820939345189,0.00397375350499949,0.00397375350499949,0.0015356822179406,0.000995116079694461,6.20183232223289e-05,0.00376413329095962,0.000958705609706062,0.00773861522269655,0.0054915374299298,0.0054915374299298,7.93390922782909e-05,7.93390922782909e-05,0.00201629294017797,0.000275151687882287,0.00670156502632021,0.000981646979547646,0.000686266762565872,0.00202224810915234,0.0254527986768144,0.0148098966959038,0.0113312557893277,0.00309365038015476,0.0434714195764977,0.0434714195764977,0.0081162601671655,0.0278122129692904,0.00896332847034779,0.00380090872925644,0.0125973872785136,0.00988557039790237,0.00988557039790237,0.00988557039790237,0.00988557039790237,0.00294469978554525,0.00967407328177257,0.00709373062080505,0.00573744230768371,0.00573744230768371,0.00573744230768371,0.00385063578266854,0.00652913404776968,0.00892207652149925,0.00169182482653426,0.001148088820532,0.0251517329606968,0.0103283669650749,1.27098739918453e-05,1.27098739918453e-05,0.000751419989637073,0.0201832660323292,0.0351335681732655,0.0494649430617672,0.0374829247441406,0.00253670626681449,0.0313105962408248,0.0212674677273249,0.0802689780288855,0.000510998945437886,0.0189603515743702,0.0221948502338793,0.0165532630400309,0.0178049648068191,0.0149726123406243,0.0297640234505248,0.00745984977224999,0.00995921175549019,0.00530834993701824,0.0112925866352813,0.00696475370042669,6.90236087524598e-05,0.000434130331201526,0.0109336329867086,7.08956720385621e-05,0.00738882036168732,0.00333536454660984,0.00670089088087517,0.0193022602495189,0.00424377996453581,0.0209210683794476,0.0102253832834521,0.0052522766543615,0.000756677017362201,0.000671671050187797,0.000849694236491355,9.91108514682698e-07,0.00082306592602562,0.0145733094340238,0.0104667490157955,0.00169292315260632,0.00169292315260632,0.0147568752466979,0.0147568752466979,0.00967407328177257,0.000290815086044033,0.00434266872110576,0.00434266872110576,0.00434266872110576,0.00833435753758193,3.07701869140516e-05,0.00947847838535409,0.0012281988198901
