"genos","g","g.1","g.2","g.3","g.4","g.5","g.6","g.7","g.8","g.9","g.10","g.11","g.12","g.13","g.14","g.15","g.16","g.17","g.18","g.19","g.20","g.21","g.22","g.23","g.24","g.25","g.26","g.27","g.28","g.29","g.30","g.31","g.32","g.33","g.34","g.35","g.36","g.37","g.38","g.39","g.40","g.41","g.42","g.43","g.44","g.45","g.46","g.47","g.48","g.49","g.50","g.51","g.52","g.53","g.54","g.55","g.56","g.57","g.58","g.59","g.60","g.61","g.62","g.63","g.64","g.65","g.66","g.67","g.68","g.69","g.70","g.71","g.72","g.73","g.74","g.75","g.76","g.77","g.78","g.79","g.80","g.81","g.82","g.83","g.84","g.85","g.86","g.87","g.88","g.89","g.90","g.91","g.92","g.93","g.94","g.95"
"genos",NA,0.99892017961878,0.910759254390499,0.999461473880627,0.999461473880627,0.518678323197921,0.998409131088567,0.707661727368115,0.229672393063559,0.44921159860136,0.419011434164973,0.196440505898939,0.696343784339319,0.210529480190426,0.381721919392702,0.175703973003297,0.303469715406406,0.269628172236508,0.303374638513712,0.561106526657178,0.0318879180861119,0.269006061179014,0.289560927107979,0.240888361231211,0.240888361231211,0.553806550291302,0.640768116179971,0.141828332785557,0.998310948296016,0.107005286292184,0.107005286292184,0.107005286292184,0.107048512680093,0.107048512680093,0.190561084773796,0.0434811426100892,0.107005286292184,0.0434811426100892,0.106964477110745,0.330571384178445,0.0434811426100892,0.33034523662242,0.0600504746274215,0.605153823450339,0.612299081771337,0.605153823450339,0.229672393063559,0.229672393063559,0.0434811426100892,0.0328302660300794,0.0600504746274215,0.10279965327322,0.012964031436599,0.605300687067818,0.624179206696969,0.049605610821103,0.419551887431907,0.506261430980842,0.122996329565972,0.210609557582503,0.175728907982845,0.210609557582503,0.0133299680162091,0.0133299680162091,0.147677575640051,0.106964477110745,0.249923777214141,0.28251318694689,0.34248263010518,0.0889277655931785,0.0472452777711656,0.342202254762444,0.0132145177497083,0.0132145177497083,0.392339397495422,0.506454744611546,0.718013641514903,0.414089208059862,0.0133299680162091,0.122996329565972,0.330364597707982,0.224595392002104,0.177643238672646,0.999072066673717,0.177602133872207,0.998444833922223,0.05609740977741,0.436140486178159,0.342089044969511,0.122747530599154,0.0131997729553796,0.473210247181747,0.0729452356780239,0.72778827577836,0.0506371542238023,0.31944355012646,0.718013641514903
"g",NA,NA,0.998898776722625,0.387357348181451,0.75475817846657,0.13907860301863,0.270070645511723,0.264591398723568,0.0916224540674014,0.17295448374677,0.0867736011657033,0.117699890120035,0.264862808274767,0.647092341547205,0.660785296735498,0.660785296735498,0.0810744796900865,0.0595984419031807,0.480947599841158,0.137771219421401,0.599040499949969,0.0195134540656742,0.117826177740839,0.0411275822729433,0.0411275822729433,0.137729749431046,0.198120493907485,0.424774732700966,0.11774921096397,0.632871911222517,0.632871911222517,0.632871911222517,0.706044233086152,0.706044233086152,0.566067972824162,0.0550639686668827,0.0301479737591308,0.0550639686668827,0.998261887816171,0.996765570135915,0.0550639686668827,0.558833379836177,0.159655185573368,0.0946498786751613,0.0902868734387417,0.0946498786751613,0.56955809344752,0.56955809344752,0.0550639686668827,0.0199638954301613,0.159655185573368,0.19784983608714,0.26469074299145,0.117830456584978,0.580021014855998,0.101260329786715,0.462067832225549,0.191790590133015,0.0202736428450415,0.11774921096397,0.12998146592636,0.11774921096397,0.0301203743584075,0.0301203743584075,0.198120493907485,0.0202736428450415,0.998001012409769,0.998001012409766,0.998001012409766,0.00952153698825934,0.239491084148086,0.0199638954301613,0.248952368679567,0.248952368679567,0.00528342113094116,0.134971896370273,0.0764658887911042,0.448689732163007,0.448030394268966,0.137771219421401,0.724648905867613,0.536161261487294,0.509987214200184,0.369451276394189,0.134971896370273,0.137771219421401,0.543767908681275,0.669155748610093,0.660681135346488,0.148585133627304,0.573187215862239,0.396555804545723,0.320869119029413,0.432570444996277,0.330907515876165,0.328564762558285,0.445899298682269
"g.1",NA,NA,NA,0.999519971929452,0.871977935396562,0.878228785287286,0.997984931609512,0.815093776206401,0.390136880986162,0.418507958061679,0.4187306458067,0.166633904211485,0.615404798381759,0.200032231141699,0.230792438017859,0.134503038888106,0.509752436627641,0.318195745495619,0.264551381946805,0.444959945900876,0.150964734503253,0.25927044041443,0.299883044734266,0.230791036534182,0.230791036534182,0.583551634622582,0.545942445107899,0.0383206977738978,0.997860564310607,0.166580707714547,0.166580707714547,0.166580707714547,0.166633904211485,0.166633904211485,0.244771061969932,0.196411443419677,0.270842471606117,0.196411443419677,0.305366065347227,0.0624556955654293,0.196411443419677,0.124815170554219,0.0475764878123615,0.500277858627726,0.507315763076101,0.500277858627726,0.146244190708726,0.146244190708726,0.107253565183099,0.122726231698924,0.0739551520128843,0.0564736140480001,0.117673952044498,0.499544847817836,0.523376903808249,0.166685021315011,0.264551381946805,0.996334312820705,0.444959945900876,0.500277858627726,0.507315763076101,0.500277858627726,0.375315863461402,0.375315863461402,0.0911956448323262,0.444959945900876,0.0385834261138465,0.0911956448323262,0.167120134745277,0.0381958433720452,0.0217783430132385,0.166736544849661,0.106915088612641,0.106915088612641,0.231290009015738,0.791369950985484,0.642974658196618,0.237290072935858,0.0624556955654293,0.0279294753579238,0.067853558882303,0.107048512680252,0.0625344623878723,0.998824639074083,0.0197560311020114,0.998030156081839,0.137719039506005,0.285568256926737,0.166605988217078,0.0351388609018049,0.19336304045103,0.333814978062749,0.0384734015167335,0.654329453239159,0.0540477833321038,0.137719039506005,0.642974658196618
"g.2",NA,NA,NA,NA,0.25209015602639,0.208197532807533,0.768108287763613,0.382719643050752,0.15158565284217,0.338952822027511,0.287316020209561,0.102468371341645,0.412410112744973,0.461471078921445,0.703950610167994,0.703950610167994,0.118481897218808,0.125785171572544,0.0809470580369386,0.0740815394467426,0.0529727258222777,0.450413864120111,0.307798834284382,0.163761909258278,0.163761909258278,0.359316993278515,0.0530073879557821,0.0941039909281134,0.166595918644417,0.198632279838055,0.198632279838055,0.198632279838055,0.230709893390616,0.230709893390616,0.0522209789433546,0.313324717564331,0.358778528213249,0.313324717564331,0.572727378539809,0.51933466083147,0.313324717564331,0.423278142464862,0.00781565228031546,0.375219316346086,0.386790405085301,0.375219316346086,0.0809470580369386,0.0809470580369386,0.107016079044487,0.0739604863939506,0.10704050258535,0.147665873198865,0.218777511025611,0.479248723717896,0.10704050258535,0.0841779157836455,0.325987727370583,0.218794485163971,0.359291103907184,0.423278142464862,0.434963713483749,0.423278142464862,0.759770423060036,0.759770423060036,0.650369288878431,0.786424111506018,0.13916378799133,0.125785171572544,0.038417108403358,0.118503859089161,0.00532922723315095,0.145179503438384,0.0327530148290759,0.0327530148290759,0.198707627655078,0.392417442261409,0.256096589626844,0.27888004589834,0.278887636323475,0.359291103907184,0.27888004589834,0.291562328223539,0.0740062961578902,0.256096589626844,0.0384540373696825,0.0740815394467426,0.281552052891343,0.0475504758218533,0.0161633984953656,0.145179503438384,0.193623337341078,0.3054172910362,0.260345210073262,0.403684508522896,0.0236417677442367,0.20978002785781,0.404813937643907
"g.3",NA,NA,NA,NA,NA,0.0809470580369386,0.999160317666061,0.459932846473327,0.32127903329233,0.023388055058885,0.00874788608346861,0.871977935396562,0.465752046678241,0.307798834284382,0.112316702459046,0.198707627655078,0.439151076490434,0.300805503836333,0.0384459225929824,0.305895552576057,0.0385106337745215,0.10704050258535,0.0832400193390901,0.0941039909281134,0.0941039909281134,0.359316993278515,0.125785171572544,0.0801998352587532,0.0384327183356731,0.679454917718536,0.679454917718536,0.679454917718536,0.48721862958119,0.48721862958119,0.999169282045612,0.0383966530204111,0.198632279838055,0.0383966530204111,0.0740815394467426,0.278887636323475,0.0383966530204111,0.230702605041008,0.358940612417353,0.423278142464862,0.412260501477274,0.423278142464862,0.264706933453276,0.264706933453276,0.588112213379323,0.465754383950657,0.267404864786236,0.300786082196458,0.519316129410148,0.423082157865756,0.40471530051423,0.206354364437825,0.0384459225929824,0.479277988532615,0.305895552576057,0.375219316346086,0.362407600690694,0.375219316346086,0.218794485163971,0.218794485163971,0.0530073879557821,0.305895552576057,0.228696922600107,0.242537040545739,0.305337436591354,0.278761044768326,0.270571025805956,0.189776350046347,0.181518148701557,0.181518148701557,0.51911486364478,0.652909263670422,0.588112213379323,0.399005744550308,0.218794485163971,0.537165705051619,0.27888004589834,0.190177425188916,0.430203050792408,0.553351905949358,0.218777511025611,0.768613080613329,0.469473447646627,0.523872641381349,0.479236596522598,0.305464452228474,0.379661963172207,0.583360846611403,0.0384528378881975,0.716858715557034,0.184414955103694,0.353453477089325,0.70241004180454
"g.4",NA,NA,NA,NA,NA,NA,0.392099891434028,0.264652322438192,0.0315661671645525,0.256905933869785,0.398039211810001,0.117585556269904,0.0384459225941944,0.0487992809763675,0.0149458794481601,0.151573035901825,0.314058537332431,0.334913690563596,0.416066155393209,0.186938109334922,0.0975374901724629,0.0419136844238501,0.0487992809763675,0.0456267403978789,0.0456267403978789,0.998760646620785,0.398373611412464,0.232596418686804,0.558841381345082,0.264469786325738,0.264469786325738,0.264469786325738,0.117585556269904,0.117585556269904,0.13058245116683,0.477182962092386,0.542776176710161,0.477182962092386,0.59354722556727,0.0853268534616798,0.477182962092386,0.268228570603113,0.128837430307809,0.338469340487862,0.323800644576093,0.338469340487862,0.0853562634290165,0.0853562634290165,0.054500768673606,0.0195852401772951,0.0419136844238501,0.00225411806184527,0.172819157679617,0.338240841795081,0.054610877272855,0.477225595193466,0.139170529170042,0.0853268534616798,0.509977242821106,0.558841381345082,0.547690147426937,0.558841381345082,0.724397497090829,0.724397497090829,0.398373611412464,0.509977242821106,0.0159985158841053,0.00219236632430811,0.0807904988940402,0.155799503827201,0.239255629636116,0.26459740064961,0.0545298753210062,0.0545298753210062,0.490830827293189,0.356679746631657,0.684992125461967,0.199570380250577,0.172840806535116,0.186938109334922,0.172830004502467,0.0372133560899322,0.183044622847551,0.369713007068256,0.00923080121346266,0.999130881819913,0.239255629636116,0.00737057111955982,0.0384459225941944,0.0195852401772951,0.359599585356181,0.0242641658224237,0.437060475948766,0.0517309663025228,0.169207809632784,0.053830864743312,0.054500768673606
"g.5",NA,NA,NA,NA,NA,NA,NA,0.998880463843074,0.288813845980446,0.818264817245575,0.83547803610153,0.997984931609512,0.999160317666061,0.354863792068993,0.0725208716078614,0.0954202745908593,0.0482762888060927,0.997252223418418,0.766169323076607,0.0997144888085689,0.265754327724906,0.591691972477302,0.66032022091695,0.261230563648842,0.261230563648842,0.994504993371395,0.0822294254419159,0.298006850300615,0.0963757768676999,0.32571833470453,0.32571833470453,0.32571833470453,0.020369667665382,0.020369667665382,0.997017756797268,0.170916258539572,0.0676198692403546,0.170916258539572,0.241465219203896,0.145352969537544,0.170916258539572,0.0963757768676999,0.61649400915359,0.189126259099847,0.101866857693237,0.189126259099847,0.163843014052719,0.163843014052719,0.422805760857834,0.551757208593608,0.0626880913340203,0.0447856813829378,0.327604002512779,0.189340566877244,0.61649400915359,0.850842282530689,0.369246474091816,0.145352969537544,0.00176958313617536,0.121120109259128,0.11925077868061,0.121120109259128,0.00217160502093853,0.00217160502093853,0.105194201172967,0.11352111229855,0.274908436313386,0.264634883156738,0.32571833470453,0.517744058070974,0.445366356149258,0.0998084093085863,0.0986382253564644,0.0986382253564644,0.99767493968251,0.0268857266754341,0.422805760857834,0.00366910385128216,0.0218697905809738,0.241465219203896,0.0217216145733521,0.0982237385607981,0.374670439787179,0.422805760857834,0.327604002512779,0.99680455268693,0.130732322356406,0.37625810064733,0.359614792796557,0.551757208593608,0.188607342474502,0.0390585238773289,0.0525233139731831,0.0623511915253403,0.332736005084901,0.130732322356406,0.0365127241934989
"g.6",NA,NA,NA,NA,NA,NA,NA,NA,0.673114519995045,0.566069256498832,0.687119319289769,0.815093776206415,0.537025423319405,0.444474976846378,0.358844786180934,0.145105724794403,0.768495037305504,0.495039059528342,0.254656366368168,0.383175991660991,0.147738035547635,0.0738779352565608,0.0625061699501647,0.0339236085530348,0.0339236085530348,0.536866215508023,0.495039059528342,0.0339236085530348,0.444480053061198,0.998741378183928,0.998741378183928,0.998741378183928,0.815093776206415,0.815093776206415,0.998800069490658,0.603168114292521,0.76818744874845,0.603168114292521,0.691114546476493,0.305695625256455,0.603168114292521,0.444480053061198,0.603000838607172,0.444480053061198,0.453914540012553,0.444480053061198,0.428141625062839,0.428141625062839,0.40477580469679,0.382898150381366,0.338636032112351,0.368591741232279,0.305562498545306,0.305606807983071,0.479177356383394,0.603000838607172,0.346408853056386,0.0234060721842212,0.691114546476493,0.722394160064095,0.728012429194114,0.722394160064095,0.652816463021169,0.652816463021169,0.747175616454756,0.383175991660991,0.281271410019129,0.289657919629265,0.348880356222189,0.145181655528698,0.233740570619412,0.0738668784718184,0.0079516173210715,0.0079516173210715,0.399029737152558,0.283858260633043,0.206393796261566,0.305642687473891,0.0234060721842212,0.383175991660991,0.479282340503204,0.561293453337968,0.485618811065001,0.888402440645477,0.153645912541194,0.479427339262938,0.329470099969466,0.30561508707453,0.287804610757209,0.305668842456168,0.193436242540532,0.270724299392881,0.0384681947448212,0.33690962251882,0.27030699958712,0.275368440285886,0.330236460773983
"g.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199698814327189,0.124297980140637,0.756025297027328,0.490871604522248,0.707421606864391,0.155613917604843,0.151573035901825,0.161689587952748,0.197978486114445,0.0315661671645525,0.186938109334922,0.197938950732794,0.159668718009849,0.117607729343576,0.232596418686804,0.232596418686804,0.0853453001402065,0.501096256331007,0.0456267403978789,0.451410809924102,0.695077186885835,0.695077186885835,0.695077186885835,0.634161949321398,0.634161949321398,0.99920981025161,0.215905797856452,0.237721460973413,0.215905797856452,0.390546529206284,0.314064053592553,0.215905797856452,0.0853006737117974,0.477225595193466,0.634155081234045,0.626219428782702,0.634155081234045,0.300577815750173,0.300577815750173,0.60811943277246,0.593489537153722,0.477225595193466,0.501113448129735,0.542776076131522,0.451224637451684,0.579902595123864,0.215906736858129,0.300577815750173,0.448646235066542,0.390546529206284,0.268228570603113,0.281760240653896,0.268228570603113,0.542782361799494,0.542782361799494,0.168392142452634,0.186938109334922,0.999000506204884,0.999000506204883,0.999000506204884,0.0150500087804867,0.243144203770977,0.0195852401772951,0.0200644364371685,0.0200644364371685,0.490830827293189,0.172819157679617,0.215905797856452,0.199570380250577,0.172840806535116,0.509977242821106,0.0855076899758508,0.326124095115309,0.390253399693183,0.684992125461967,0.448594594763538,0.509977242821106,0.306157430503512,0.495787015897738,0.509787493418917,0.632473469388647,0.350916583424192,0.705722573690185,0.151573035901825,0.683531516760554,0.651220084813351,0.543637705868526,0.684992125461967
"g.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999698133247013,0.843968274609942,0.399046889461476,0.302253424190483,0.999209702580605,0.865911172548611,0.273158027214505,0.682883147717617,0.517472172646252,0.61243171012752,0.147800822682024,0.169339524136204,0.162886574400761,0.165720767409555,0.165720767409555,0.219162555270075,0.0485552130924551,0.286690628941748,0.0624231524349968,0.804414857609341,0.804414857609341,0.804414857609341,0.375029481549338,0.375029481549338,0.998987541403276,0.626261435111663,0.564044008001673,0.626261435111663,0.999312822004143,0.782141524228473,0.626261435111663,0.825699375305252,0.169339524136204,0.531271671625427,0.518767508932875,0.531271671625427,0.172812175269011,0.172812175269011,0.665402890324469,0.478857029051212,0.218643955355635,0.254219767083294,0.316474998791402,0.296882200494578,0.330522848579975,0.501543441647131,0.0282115243355508,0.345968209471014,0.806303818095066,0.825699375305252,0.831419945316539,0.825699375305252,0.782141524228473,0.782141524228473,0.841248180704563,0.806303818095066,0.345504301721485,0.360769700811114,0.414170770434039,0.195020575405336,0.191921698225339,0.0308813826510851,0.163018175986539,0.163018175986539,0.278709371057424,0.218654912190276,0.665402890324469,0.12112902374809,0.345968209471014,0.806303818095066,0.0188814150423908,0.173713702353842,0.131975672045268,0.665402890324469,0.121116031008573,0.739665556083565,0.272612738502195,0.0624372218431314,0.0884513337780896,0.0885739633996288,0.0171257570613777,0.687356264608427,0.0606884233575306,0.820606146224707,0.290727820316139,0.595810806023938,0.832605231791818
