,chr,pos
M_E_5,L.1,0
M_E_6,L.1,4.01170960572437
JHI-Hv50k-2016-37481,L.1,9.51463629021783
JHI-Hv50k-2016-37484,L.1,9.51463629021783
JHI-Hv50k-2016-30997,L.1,21.7475593384874
JHI-Hv50k-2016-26496,L.1,24.5746690510613
JHI-Hv50k-2016-20858,L.1,29.7465503447645
M_E_4,L.1,33.5823977426672
JHI-Hv50k-2016-18386,L.1,38.4016235698435
JHI-Hv50k-2016-18385,L.1,38.4016235698435
JHI-Hv50k-2016-18373,L.1,38.4016235698435
JHI-Hv50k-2016-18338,L.1,38.4016235698435
JHI-Hv50k-2016-18189,L.1,38.4016235698435
JHI-Hv50k-2016-17893,L.1,38.4016235698435
JHI-Hv50k-2016-18382,L.1,38.4016235698435
JHI-Hv50k-2016-16604,L.1,41.222490114996
JHI-Hv50k-2016-16601,L.1,41.222490114996
JHI-Hv50k-2016-16559,L.1,41.222490114996
JHI-Hv50k-2016-16527,L.1,41.8991056332716
JHI-Hv50k-2016-16518,L.1,41.8991056332716
JHI-Hv50k-2016-16506,L.1,41.8991056332716
JHI-Hv50k-2016-16495,L.1,41.8991056332716
JHI-Hv50k-2016-16542,L.1,42.5814524055879
JHI-Hv50k-2016-16517,L.1,42.5814524055879
JHI-Hv50k-2016-16516,L.1,42.5814524055879
JHI-Hv50k-2016-16514,L.1,42.5814524055879
JHI-Hv50k-2016-16505,L.1,42.5814524055879
JHI-Hv50k-2016-16499,L.1,42.5814524055879
JHI-Hv50k-2016-16526,L.1,42.5814524055879
JHI-Hv50k-2016-15963,L.1,45.4085635356226
JHI-Hv50k-2016-16067,L.1,46.0842803453206
JHI-Hv50k-2016-15410,L.1,48.6847688295469
JHI-Hv50k-2016-15633,L.1,48.6847688295469
JHI-Hv50k-2016-15348,L.1,48.6847688295469
JHI-Hv50k-2016-15327,L.1,48.6847688295469
JHI-Hv50k-2016-15324,L.1,48.6847688295469
JHI-Hv50k-2016-15322,L.1,48.6847688295469
JHI-Hv50k-2016-15254,L.1,48.6847688295469
JHI-Hv50k-2016-15222,L.1,49.7160458075804
JHI-Hv50k-2016-15183,L.1,49.7160458075804
JHI-Hv50k-2016-15198,L.1,50.7611501002332
JHI-Hv50k-2016-15068,L.1,51.787274655149
JHI-Hv50k-2016-15051,L.1,51.787274655149
JHI-Hv50k-2016-14760,L.1,52.5469548620765
JHI-Hv50k-2016-15134,L.1,52.5469548620765
JHI-Hv50k-2016-15129,L.1,52.5469548620765
JHI-Hv50k-2016-15127,L.1,53.3257086522485
JHI-Hv50k-2016-14418,L.1,56.2024971756525
JHI-Hv50k-2016-13582,L.1,56.2024971756525
M_E_3,L.1,61.3678534097275
JHI-Hv50k-2016-13067,L.1,66.8574970377342
M_E_134,L.1,71.5388986082139
JHI-Hv50k-2016-11980,L.1,75.9062647111698
JHI-Hv50k-2016-11911,L.1,76.5819815208678
JHI-Hv50k-2016-11910,L.1,76.5819815208678
JHI-Hv50k-2016-10580,L.1,80.3142682826259
JHI-Hv50k-2016-10642,L.1,81.9223756639487
JHI-Hv50k-2016-240857,L.1,90.2305075412921
JHI-Hv50k-2016-7423,L.1,108.691507166796
JHI-Hv50k-2016-7618,L.1,109.367223976494
JHI-Hv50k-2016-8609,L.1,111.45176419997
JHI-Hv50k-2016-8710,L.1,112.150689502555
JHI-Hv50k-2016-7619,L.1,113.699907792105
JHI-Hv50k-2016-6373,L.1,115.831125318472
JHI-Hv50k-2016-6438,L.1,117.803244972679
JHI-Hv50k-2016-6092,L.1,117.803244972679
JHI-Hv50k-2016-5180,L.1,119.03231465076
JHI-Hv50k-2016-4713,L.1,119.804072657507
JHI-Hv50k-2016-4712,L.1,119.804072657507
JHI-Hv50k-2016-4260,L.1,119.804072657507
M_E_2,L.1,124.166558219087
JHI-Hv50k-2016-265391,L.1,133.914339403358
M_E_32,L.10,0
JHI-Hv50k-2016-124927,L.10,6.18582394995001
JHI-Hv50k-2016-124930,L.10,6.18582394995001
JHI-Hv50k-2016-124974,L.10,6.18582394995001
JHI-Hv50k-2016-124924,L.10,6.18582394995001
JHI-Hv50k-2016-190340,L.10,6.18582394995001
JHI-Hv50k-2016-124796,L.10,7.19753539949511
JHI-Hv50k-2016-126274,L.10,8.93934433778563
JHI-Hv50k-2016-119113,L.10,23.3525726347478
JHI-Hv50k-2016-118494,L.10,24.6950902140523
JHI-Hv50k-2016-118583,L.10,25.3708403510965
JHI-Hv50k-2016-119116,L.10,25.3708403510965
JHI-Hv50k-2016-115889,L.10,26.0465571607945
JHI-Hv50k-2016-116068,L.10,26.0465571607945
JHI-Hv50k-2016-116385,L.10,26.0465571607945
JHI-Hv50k-2016-116466,L.10,26.0465571607945
JHI-Hv50k-2016-116577,L.10,26.0465571607945
JHI-Hv50k-2016-116579,L.10,26.0465571607945
JHI-Hv50k-2016-116581,L.10,26.0465571607945
JHI-Hv50k-2016-116742,L.10,26.0465571607945
JHI-Hv50k-2016-116864,L.10,26.0465571607945
JHI-Hv50k-2016-116867,L.10,26.0465571607945
JHI-Hv50k-2016-116907,L.10,26.0465571607945
JHI-Hv50k-2016-116922,L.10,26.0465571607945
JHI-Hv50k-2016-117081,L.10,26.0465571607945
JHI-Hv50k-2016-117198,L.10,26.0465571607945
JHI-Hv50k-2016-117333,L.10,26.0465571607945
JHI-Hv50k-2016-117361,L.10,26.0465571607945
JHI-Hv50k-2016-117510,L.10,26.0465571607945
JHI-Hv50k-2016-117516,L.10,26.0465571607945
JHI-Hv50k-2016-119243,L.10,26.0465571607945
JHI-Hv50k-2016-119256,L.10,26.0465571607945
JHI-Hv50k-2016-119259,L.10,26.0465571607945
JHI-Hv50k-2016-119334,L.10,26.0465571607945
JHI-Hv50k-2016-115933,L.10,26.7222739704925
JHI-Hv50k-2016-115953,L.10,27.7604580126045
JHI-Hv50k-2016-115563,L.10,28.8051750778046
JHI-Hv50k-2016-115564,L.10,28.8051750778046
JHI-Hv50k-2016-115174,L.10,30.1683638800078
JHI-Hv50k-2016-115312,L.10,30.8578135547489
JHI-Hv50k-2016-115080,L.10,30.8578135547489
JHI-Hv50k-2016-115107,L.10,30.8578135547489
JHI-Hv50k-2016-115110,L.10,30.8578135547489
JHI-Hv50k-2016-115147,L.10,30.8578135547489
JHI-Hv50k-2016-115163,L.10,30.8578135547489
JHI-Hv50k-2016-115172,L.10,30.8578135547489
JHI-Hv50k-2016-115240,L.10,30.8578135547489
JHI-Hv50k-2016-115245,L.10,30.8578135547489
JHI-Hv50k-2016-115255,L.10,30.8578135547489
JHI-Hv50k-2016-115389,L.10,30.8578135547489
JHI-Hv50k-2016-115666,L.10,30.8578135547489
JHI-Hv50k-2016-115671,L.10,30.8578135547489
M_E_31,L.10,32.9406140933268
M_E_30,L.10,32.9406140933268
M_E_29,L.10,33.6409418339673
JHI-Hv50k-2016-114940,L.10,37.2437569877549
JHI-Hv50k-2016-114249,L.10,38.6139629001298
JHI-Hv50k-2016-114253,L.10,38.6139629001298
JHI-Hv50k-2016-114255,L.10,38.6139629001298
JHI-Hv50k-2016-114264,L.10,38.6139629001298
JHI-Hv50k-2016-114491,L.10,38.6139629001298
JHI-Hv50k-2016-114548,L.10,38.6139629001298
JHI-Hv50k-2016-114549,L.10,38.6139629001298
JHI-Hv50k-2016-114619,L.10,38.6139629001298
JHI-Hv50k-2016-114706,L.10,38.6139629001298
JHI-Hv50k-2016-114849,L.10,38.6139629001298
JHI-Hv50k-2016-114865,L.10,38.6139629001298
JHI-Hv50k-2016-114948,L.10,38.6139629001298
JHI-Hv50k-2016-114951,L.10,38.6139629001298
JHI-Hv50k-2016-114953,L.10,38.6139629001298
JHI-Hv50k-2016-114965,L.10,38.6139629001298
JHI-Hv50k-2016-115064,L.10,38.6139629001298
JHI-Hv50k-2016-114026,L.10,39.9841688125047
JHI-Hv50k-2016-113836,L.10,41.3543747248796
JHI-Hv50k-2016-113929,L.10,42.0510886907235
JHI-Hv50k-2016-112299,L.10,44.9253420790171
JHI-Hv50k-2016-112415,L.10,44.9253420790171
M_E_28,L.10,47.7768214562289
M_E_27,L.10,51.3780613427713
JHI-Hv50k-2016-110245,L.10,53.4901462216595
JHI-Hv50k-2016-110449,L.10,53.4901462216595
JHI-Hv50k-2016-110485,L.10,53.4901462216595
JHI-Hv50k-2016-110636,L.10,54.1708967783746
JHI-Hv50k-2016-111369,L.10,54.8477004276904
JHI-Hv50k-2016-111501,L.10,54.8477004276904
JHI-Hv50k-2016-111266,L.10,55.5245040770062
JHI-Hv50k-2016-111319,L.10,55.5245040770062
JHI-Hv50k-2016-108204,L.10,67.2114484065444
JHI-Hv50k-2016-108250,L.10,67.2114484065444
JHI-Hv50k-2016-106848,L.10,73.250572645916
JHI-Hv50k-2016-106758,L.10,74.1054665498313
JHI-Hv50k-2016-106572,L.10,74.9993040149709
M_E_26,L.10,81.7788532869191
JHI-Hv50k-2016-106035,L.10,90.5757711671361
JHI-Hv50k-2016-106037,L.10,90.5757711671361
JHI-Hv50k-2016-105548,L.10,92.684032368005
JHI-Hv50k-2016-105262,L.10,93.3821678565071
JHI-Hv50k-2016-104497,L.10,95.2250782882538
JHI-Hv50k-2016-104508,L.10,95.2250782882538
JHI-Hv50k-2016-104510,L.10,95.2250782882538
JHI-Hv50k-2016-104565,L.10,95.2250782882538
JHI-Hv50k-2016-105079,L.10,95.2250782882538
JHI-Hv50k-2016-104651,L.10,95.2250782882538
JHI-Hv50k-2016-104509,L.10,96.5907369120874
JHI-Hv50k-2016-104514,L.10,96.5907369120874
JHI-Hv50k-2016-104602,L.10,96.5907369120874
JHI-Hv50k-2016-103868,L.10,100.826799689838
JHI-Hv50k-2016-104058,L.10,100.826799689838
JHI-Hv50k-2016-103929,L.10,100.826799689838
JHI-Hv50k-2016-103938,L.10,100.826799689838
JHI-Hv50k-2016-104059,L.10,100.826799689838
M_E_25,L.10,108.2696745781
M_E_24,L.10,108.2696745781
JHI-Hv50k-2016-102943,L.10,109.85180799399
JHI-Hv50k-2016-102626,L.10,109.85180799399
JHI-Hv50k-2016-102844,L.10,109.85180799399
JHI-Hv50k-2016-102627,L.10,110.72968646709
JHI-Hv50k-2016-102625,L.10,110.72968646709
JHI-Hv50k-2016-101226,L.10,112.169606080041
JHI-Hv50k-2016-102159,L.10,113.735712699561
JHI-Hv50k-2016-102275,L.10,113.735712699561
M_E_23,L.10,117.144241892654
JHI-Hv50k-2016-100214,L.10,121.34269058773
JHI-Hv50k-2016-97025,L.10,127.434140638299
JHI-Hv50k-2016-92623,L.10,130.777399159549
JHI-Hv50k-2016-91754,L.10,130.777399159549
JHI-Hv50k-2016-91961,L.10,130.777399159549
JHI-Hv50k-2016-92209,L.10,132.412680534225
JHI-Hv50k-2016-92462,L.10,132.412680534225
JHI-Hv50k-2016-92202,L.10,132.412680534225
JHI-Hv50k-2016-96944,L.10,133.707643184102
JHI-Hv50k-2016-99229,L.10,134.826081263367
JHI-Hv50k-2016-99004,L.10,134.826081263367
JHI-Hv50k-2016-93106,L.10,134.826081263367
JHI-Hv50k-2016-97836,L.10,134.826081263367
JHI-Hv50k-2016-93366,L.10,136.60666905449
JHI-Hv50k-2016-98582,L.10,138.03260193074
JHI-Hv50k-2016-90788,L.10,140.093425222
JHI-Hv50k-2016-91245,L.10,141.28463202292
JHI-Hv50k-2016-91257,L.10,141.28463202292
JHI-Hv50k-2016-91167,L.10,141.28463202292
JHI-Hv50k-2016-90688,L.10,141.28463202292
JHI-Hv50k-2016-90896,L.10,141.28463202292
JHI-Hv50k-2016-91125,L.10,141.28463202292
JHI-Hv50k-2016-91157,L.10,141.28463202292
JHI-Hv50k-2016-80094,L.10,155.166100697069
JHI-Hv50k-2016-80097,L.10,155.979537382292
JHI-Hv50k-2016-77721,L.10,159.629175204626
JHI-Hv50k-2016-78625,L.10,159.629175204626
JHI-Hv50k-2016-78780,L.10,159.629175204626
JHI-Hv50k-2016-78831,L.10,159.629175204626
JHI-Hv50k-2016-77724,L.10,161.102169270226
JHI-Hv50k-2016-78532,L.10,161.102169270226
JHI-Hv50k-2016-78626,L.10,161.102169270226
JHI-Hv50k-2016-78631,L.10,161.102169270226
JHI-Hv50k-2016-78688,L.10,161.102169270226
JHI-Hv50k-2016-78636,L.10,161.887810192295
JHI-Hv50k-2016-77945,L.10,162.582384770184
JHI-Hv50k-2016-79374,L.10,164.942207273422
JHI-Hv50k-2016-79404,L.10,164.942207273422
JHI-Hv50k-2016-79451,L.10,166.053814788736
M_E_22,L.10,169.557441289269
M_E_19,L.10,171.581828403466
M_E_21,L.10,171.581828403466
M_E_20,L.10,171.581828403466
M_E_18,L.10,174.7074434047
JHI-Hv50k-2016-77638,L.10,180.282320000424
JHI-Hv50k-2016-77576,L.10,180.958036810122
JHI-Hv50k-2016-77586,L.10,180.958036810122
JHI-Hv50k-2016-77603,L.10,180.958036810122
JHI-Hv50k-2016-77604,L.10,180.958036810122
JHI-Hv50k-2016-77605,L.10,180.958036810122
JHI-Hv50k-2016-77601,L.10,181.63375361982
JHI-Hv50k-2016-77590,L.10,183.012500186784
JHI-Hv50k-2016-77597,L.10,183.012500186784
JHI-Hv50k-2016-77598,L.10,183.012500186784
JHI-Hv50k-2016-77599,L.10,183.012500186784
JHI-Hv50k-2016-77560,L.10,184.13465935247
JHI-Hv50k-2016-77522,L.10,185.274656337171
JHI-Hv50k-2016-77491,L.10,185.274656337171
JHI-Hv50k-2016-77334,L.10,187.908369272066
JHI-Hv50k-2016-77388,L.10,187.908369272066
JHI-Hv50k-2016-75477,L.10,193.557222012372
M_E_143,L.10,196.377558886031
M_E_17,L.10,200.740159940719
JHI-Hv50k-2016-74875,L.10,205.98017817382
JHI-Hv50k-2016-74781,L.10,207.703212272671
JHI-Hv50k-2016-73930,L.10,211.611428447495
JHI-Hv50k-2016-73933,L.10,211.611428447495
JHI-Hv50k-2016-73950,L.10,211.611428447495
JHI-Hv50k-2016-73951,L.10,211.611428447495
M_E_16,L.10,215.201039889377
JHI-Hv50k-2016-73663,L.10,217.468490326838
JHI-Hv50k-2016-73690,L.10,217.468490326838
JHI-Hv50k-2016-73692,L.10,217.468490326838
JHI-Hv50k-2016-73693,L.10,217.468490326838
JHI-Hv50k-2016-73694,L.10,217.468490326838
JHI-Hv50k-2016-73695,L.10,217.468490326838
JHI-Hv50k-2016-73075,L.10,220.476768524166
JHI-Hv50k-2016-73247,L.10,220.476768524166
JHI-Hv50k-2016-73118,L.10,221.152485333864
JHI-Hv50k-2016-73300,L.10,221.152485333864
JHI-Hv50k-2016-73085,L.10,221.152485333864
JHI-Hv50k-2016-72530,L.10,222.174617701051
JHI-Hv50k-2016-72622,L.10,222.174617701051
JHI-Hv50k-2016-72947,L.10,222.174617701051
JHI-Hv50k-2016-72497,L.10,224.377534841427
JHI-Hv50k-2016-72545,L.10,224.377534841427
JHI-Hv50k-2016-72504,L.10,224.377534841427
JHI-Hv50k-2016-72315,L.10,227.341674271926
JHI-Hv50k-2016-71931,L.10,230.704919201559
JHI-Hv50k-2016-71932,L.10,230.704919201559
JHI-Hv50k-2016-71369,L.10,232.231024461912
JHI-Hv50k-2016-71113,L.10,234.249660326729
JHI-Hv50k-2016-70553,L.10,235.126703858999
JHI-Hv50k-2016-68732,L.10,237.965963816093
JHI-Hv50k-2016-68595,L.10,240.069314906981
JHI-Hv50k-2016-68721,L.10,240.745031716679
JHI-Hv50k-2016-68731,L.10,240.745031716679
JHI-Hv50k-2016-68718,L.10,240.745031716679
JHI-Hv50k-2016-68729,L.10,242.115237629054
JHI-Hv50k-2016-68734,L.10,242.115237629054
JHI-Hv50k-2016-68449,L.10,242.812528312622
JHI-Hv50k-2016-67865,L.10,246.474698751096
JHI-Hv50k-2016-67588,L.10,247.78984555486
JHI-Hv50k-2016-67559,L.10,248.465562785138
JHI-Hv50k-2016-67587,L.10,248.465562785138
JHI-Hv50k-2016-67600,L.10,248.465562785138
JHI-Hv50k-2016-67614,L.10,248.465562785138
JHI-Hv50k-2016-67661,L.10,248.465562785138
JHI-Hv50k-2016-67810,L.10,248.465562785138
JHI-Hv50k-2016-67767,L.10,248.465562785138
JHI-Hv50k-2016-67550,L.10,248.465562785138
JHI-Hv50k-2016-67378,L.10,249.141279594836
JHI-Hv50k-2016-66623,L.10,249.816996404534
JHI-Hv50k-2016-66022,L.10,250.848899278946
JHI-Hv50k-2016-66556,L.10,250.848899278946
JHI-Hv50k-2016-65319,L.10,251.880802153359
JHI-Hv50k-2016-65426,L.10,251.880802153359
JHI-Hv50k-2016-65610,L.10,251.880802153359
M_E_15,L.10,253.577819179967
M_E_14,L.10,253.577819179967
JHI-Hv50k-2016-64130,L.10,258.834493131699
JHI-Hv50k-2016-62805,L.10,259.905700619272
JHI-Hv50k-2016-63361,L.10,259.905700619272
JHI-Hv50k-2016-63868,L.10,259.905700619272
JHI-Hv50k-2016-63893,L.10,259.905700619272
JHI-Hv50k-2016-64055,L.10,259.905700619272
JHI-Hv50k-2016-64086,L.10,259.905700619272
JHI-Hv50k-2016-64146,L.10,259.905700619272
JHI-Hv50k-2016-64149,L.10,259.905700619272
JHI-Hv50k-2016-64151,L.10,259.905700619272
JHI-Hv50k-2016-62472,L.10,260.875841296798
JHI-Hv50k-2016-62596,L.10,260.875841296798
JHI-Hv50k-2016-61642,L.10,263.7135024919
JHI-Hv50k-2016-59917,L.10,265.106802033117
JHI-Hv50k-2016-58775,L.10,266.483357099417
JHI-Hv50k-2016-58810,L.10,266.483357099417
JHI-Hv50k-2016-58991,L.10,266.483357099417
JHI-Hv50k-2016-59425,L.10,266.483357099417
JHI-Hv50k-2016-75478,L.10,276.124919119716
M_E_53,L.10,301.502377118339
M_E_33,L.11,0
JHI-Hv50k-2016-130522,L.11,2.34068907874654
JHI-Hv50k-2016-130764,L.11,2.34068907874654
JHI-Hv50k-2016-131311,L.11,3.40894871929433
JHI-Hv50k-2016-131291,L.11,4.49013622150675
JHI-Hv50k-2016-131292,L.11,4.49013622150675
JHI-Hv50k-2016-131709,L.11,6.93569482138749
JHI-Hv50k-2016-132108,L.11,7.9843854312507
JHI-Hv50k-2016-132172,L.11,7.9843854312507
JHI-Hv50k-2016-132236,L.11,7.9843854312507
JHI-Hv50k-2016-132248,L.11,7.9843854312507
JHI-Hv50k-2016-132414,L.11,7.9843854312507
JHI-Hv50k-2016-135171,L.11,13.5474747718647
JHI-Hv50k-2016-135041,L.11,13.5474747718647
JHI-Hv50k-2016-135356,L.11,13.5474747718647
JHI-Hv50k-2016-135382,L.11,13.5474747718647
JHI-Hv50k-2016-135561,L.11,14.3740199602016
JHI-Hv50k-2016-135562,L.11,14.3740199602016
JHI-Hv50k-2016-136164,L.11,15.1084745616303
JHI-Hv50k-2016-137060,L.11,16.7708175711109
JHI-Hv50k-2016-139283,L.11,25.1238682834074
