marker	LG	pos
11_10419	1Ha	0
12_30877	1Ha	17
11_20712	1Ha	22
12_10506	1Ha	39
11_10006	1Ha	58
11_21126	1Ha	59
11_20434	1Ha	73
11_20769	1Ha	74
11_21446	1Ha	74
11_10522	1Ha	80
11_20169	1Ha	81
11_11481	1Hb	0
11_20563	2Ha	0
12_31497	2Ha	0
12_30871	2Hb	0
11_21261	2Hb	10
K09066	2Hb	15
11_20173	2Hb	24
11_10342	2Hb	26
11_10648	2Hb	26
11_11073	2Hb	28
11_10651	2Hb	45
11_11402	2Hb	50
11_20419	2Hb	50
11_11100	2Hb	61
11_20080	2Hb	72
11_10876	2Hb	76
11_21340	2Hb	82
11_11323	2Hb	83
11_11480	2Hb	83
11_21370	2Hb	103
11_20715	2Hb	119
11_10072	2Hc	0
11_10112	3Ha	0
11_20595	3Ha	1
11_20794	3Ha	15
11_20647	3Ha	38
11_21145	3Ha	38
11_21101	3Ha	43
11_10926	3Ha	47
11_11016	3Ha	47
11_10158	3Ha	50
11_10276	3Ha	61
11_11314	3Ha	63
11_10335	3Ha	64
11_21305	3Ha	64
11_20659	3Ha	72
12_30325	3Ha	72
Bmag225	3Ha	77
K02534	3Ha	90
11_21212	3Ha	117
12_30927	3Ha	125
Bmag013	3Ha	141
Bmag0606	3Hb	0
12_30767	3Hc	0
K06404	3Hc	0
11_21267	3Hd	0
11_10409	4Ha	0
12_30150	4Ha	11
12_30863	4Hb	0
12_30864	4Hb	0
EBmac701	4Hc	0
11_10946	4Hd	0
11_21324	5Ha	0
Bmac223	5Hb	0
11_20713	5Hc	0
11_21121	5Hc	5
11_11350	5Hd	0
11_21421	5Hd	1
11_20018	5Hd	6
12_30098	5Hd	6
11_10024	5Hd	8
11_21168	5Hd	9
11_21061	5Hd	10
11_10477	5Hd	12
11_11273	5Hd	12
12_30524	5Hd	32
11_21203	5Hd	37
11_11375	5Hd	39
11_20298	5Hd	41
11_10783	5Hd	43
12_30930	5Hd	44
12_30869	5Hd	46
12_30929	5Hd	46
11_10095	5Hd	50
12_30635	5Hd	57
11_10845	5Hd	59
11_10819	5Hd	61
11_20676	5Hd	65
12_30580	5Hd	68
11_21355	5Hd	73
11_20545	5Hd	82
Bmag222	5Hd	87
11_20829	5Hd	93
11_20826	5Hd	94
11_10778	5Hd	103
11_21012	5Hd	103
11_20536	5Hd	105
11_20897	5Hd	113
12_31292	5Hd	115
12_31210	5Hd	116
11_20132	5Hd	120
GMS001	5Hd	122
11_20232	6Ha	0
Bmac316	6Ha	1
HVM62	6Hb	0
11_10462	6Hb	20
11_10817	6Hb	20
12_30133	6Hb	20
12_30569	6Hb	21
11_10676	6Hb	32
12_30673	6Hb	34
11_10129	6Hb	40
11_10270	6Hb	47
11_21339	6Hb	47
11_21069	6Hb	50
12_31250	6Hb	52
11_21404	6Hb	66
11_20118	6Hb	79
11_20531	6Hb	84
12_31115	6Hb	84
11_20379	6Hb	87
11_20725	6Hb	91
11_21419	7Ha	0
11_10851	7Ha	20
11_20722	7Ha	23
11_10451	7Ha	37
12_31305	7Ha	57
11_10327	7Ha	58
11_21326	7Ha	62
12_30752	7Ha	66
11_20113	7Ha	68
12_30576	7Ha	69
11_11098	7Ha	74
11_10143	7Ha	81
Bmag0321	7Ha	88
Bmag120	7Ha	117
12_31440	7Ha	137
12_30797	7Ha	155
11_10687	7Hb	0
11_10454	7Hb	3
11_20139	7Hc	0
