"genos","g","g.1","g.2","g.3","g.4","g.5","g.6","g.7","g.8","g.9","g.10","g.11","g.12","g.13","g.14","g.15","g.16","g.17","g.18","g.19","g.20","g.21","g.22","g.23","g.24","g.25","g.26","g.27","g.28","g.29","g.30","g.31","g.32","g.33","g.34","g.35","g.36","g.37","g.38","g.39","g.40","g.41","g.42","g.43","g.44","g.45","g.46","g.47","g.48","g.49","g.50","g.51","g.52","g.53","g.54","g.55","g.56","g.57","g.58","g.59","g.60","g.61","g.62","g.63","g.64","g.65","g.66","g.67","g.68","g.69","g.70","g.71","g.72","g.73","g.74","g.75","g.76","g.77","g.78","g.79","g.80","g.81","g.82","g.83","g.84","g.85","g.86","g.87","g.88","g.89","g.90","g.91","g.92","g.93","g.94","g.95","g.96","g.97","g.98","g.99","g.100","g.101","g.102","g.103","g.104","g.105","g.106","g.107","g.108","g.109","g.110","g.111","g.112","g.113","g.114","g.115","g.116","g.117","g.118","g.119","g.120","g.121","g.122","g.123","g.124","g.125","g.126","g.127","g.128","g.129","g.130","g.131","g.132","g.133","g.134","g.135","g.136","g.137","g.138","g.139","g.140","g.141","g.142","g.143","g.144","g.145","g.146","g.147","g.148","g.149","g.150","g.151","g.152","g.153","g.154","g.155","g.156","g.157","g.158","g.159","g.160","g.161","g.162","g.163"
"genos",NA,0.606646343233216,0.999029063170457,0.829338856955243,0.998843803959303,0.998938037842688,0.254256652316208,0.431908740991214,0.0821040049725898,0.0523152818721963,0.779792294223755,0.116104494908516,0.997876075685379,0.0701539610780857,0.997734480731069,0.475509594525717,0.997082628335811,0.998313446766461,0.529851872082496,0.24253704054578,0.0259009005402332,0.173673693286066,0.173673693286066,0.0259009005402332,0.586821508511493,0.54551810833007,0.31837715141403,0.282513186946746,0.254256652316208,0.254256652316208,0.165315027560737,0.513435863372698,0.242307141799028,0.380756876907083,0.243758606688866,0.598592977025853,0.545942445105787,0.545942445105787,0.545942445105787,0.545942445105787,0.52776653590161,0.545942445105787,0.545942445105787,0.545942445105787,0.545942445105787,0.545942445105787,0.31837715141403,0.350824818864062,0.350824818864062,0.350824818864062,0.147528211408466,0.350824818864062,0.350824818864062,0.350824818864062,0.350824818864062,0.31837715141403,0.31837715141403,0.31837715141403,0.31837715141403,0.31837715141403,0.598592977025853,0.579798991472241,0.545942445105787,0.545942445105787,0.545942445105787,0.534947491635828,0.254256652316208,0.258777131639039,0.254256652316208,0.254256652316208,0.513066949828744,0.31837715141403,0.254256652316208,0.254256652316208,0.188190881950396,0.640768116179956,0.0485552130924485,0.147677575640153,0.545942445105787,0.125785171572544,0.168392142452634,0.0485552130924485,0.513435863372698,0.998584050456917,0.177074818541806,0.998584050456917,0.207068713561702,0.102802614331918,0.147528211408466,0.689735213794895,0.689735213794895,0.0430964795002144,0.997572657926144,0.31837715141403,0.620820628228823,0.580431311168188,0.610424438819679,0.580431311168188,0.432137943045001,0.432137943045001,0.432137943045001,0.149099477116944,0.0260058138105447,0.213244327286724,0.0595984419031005,0.764608135029535,0.513066949828744,0.147675806396256,0.0641041223213994,0.147810013504406,0.149099477116944,0.267568188888974,0.267568188888974,0.330217447680664,0.207068713561702,0.163051902122262,0.0623699609453288,0.0623699609453288,0.573913957836665,0.274546133727627,0.488622742822543,0.475509594525717,0.475509594525717,0.334913690563716,0.488622742822543,0.641171332069198,0.394034392110121,0.475624791724774,0.148004522905638,0.252989866574828,0.0821040049725898,0.091036685989586,0.0261067981472127,0.19947922808294,0.00560569694763178,0.116104494908516,0.121074840662681,0.120359624079511,0.0851472044250879,0.0453844532510034,0.120359624079511,0.00350996315393335,0.545447007607585,0.997572657926144,0.997572657926144,0.997572657926144,0.997572657926144,0.251924190303276,0.598592977025853,0.689735213794895,0.545942445105787,0.110614765557128,0.12029390075052,0.998455327771183,0.144156606941528,0.997764687654656,0.356658481392765,0.318067367831637,0.997572657926144,0.573913957836665,0.304152677696684,0.998001012409766,0.22812838531202,0.110614765557128,0.12029390075052
"g",NA,NA,0.999684276910608,0.5923857369181,0.999624044764889,0.99965468242636,0.110614765557473,0.932072470111617,0.858122758307802,0.437141590750934,0.684469583947021,0.107142220043368,0.188736660815904,0.474064834995924,0.782310055067668,0.247445786476871,0.674094647062429,0.114636430898408,0.291146116928495,0.247445786476871,0.13487921754382,0.223699947515009,0.223699947515009,0.13487921754382,0.505938188134372,0.0217190172988952,0.0218421396028651,0.141828332785557,0.407255283682048,0.407255283682048,0.498475414536173,0.534503737190867,0.347840792894764,0.407255283682048,0.0382508382931038,0.232723296633342,0.347901186953838,0.347901186953838,0.347901186953838,0.347901186953838,0.322722945230416,0.347901186953838,0.347901186953838,0.347901186953838,0.347901186953838,0.347901186953838,0.347872330429742,0.223605867044453,0.223605867044453,0.223605867044453,0.517074697598149,0.223605867044453,0.223605867044453,0.223605867044453,0.223605867044453,0.347872330429742,0.347872330429742,0.347872330429742,0.347872330429742,0.347872330429742,0.424774732700899,0.15717940837925,0.347901186953838,0.347901186953838,0.347901186953838,0.298358246528442,0.407255283682048,0.437815004107074,0.407255283682048,0.407255283682048,0.534337537532598,0.347872330429742,0.407255283682048,0.407255283682048,0.407154030691572,0.484967293200687,0.286690628941748,0.656719262445556,0.347901186953838,0.184754335153261,0.136802652583946,0.317567851791577,0.0727312561193022,0.0489595028634345,0.232723296633342,0.0408886509828852,0.0900046723042836,0.0306121464739642,0.0489206911757514,0.258872675707969,0.258872675707969,0.0941590393419449,0.0727312561193022,0.347872330429742,0.456269731462315,0.0384638885911545,0.103185433230122,0.0384638885911545,0.184900942195696,0.184900942195696,0.184900942195696,0.592305459349866,0.656719262445556,0.373082375681894,0.424774732700899,0.0784787727186382,0.068439817916757,0.45658944182231,0.184693162276075,0.213341224263139,0.278660266038714,0.184938713519881,0.184938713519881,0.534390860693335,0.0900046723042836,0.534390860693335,0.134655617993478,0.674094647062429,0.0140451474043485,0.167435395651132,0.0218290047173709,0.00360178823360532,0.00360178823360532,0.204777135628779,0.103185433230122,0.0306121464739642,0.202990704292131,0.00172370621694152,0.00851060109794626,0.28644455579792,0.00763098798793626,0.0580077441917931,0.0286866975191028,0.0956338755606249,0.275338345597343,0.107142220043368,0.278660266038714,0.0366061546453768,0.0151499815069813,0.0216976399672559,0.0366061546453768,0.00336757728853972,0.130439357476933,0.534503737190867,0.534503737190867,0.534503737190867,0.534503737190867,0.286516780799738,0.424774732700899,0.258872675707969,0.130419180677543,0.291081276202532,0.556158728586412,0.703625264853519,0.0825019926503508,0.0527147466548379,0.541101564140295,0.543490090183724,0.0727312561193022,0.4904996590459,0.401006907484177,0.0411275822729433,0.344414151202109,0.310207414091565,0.667060540391575
"g.1",NA,NA,NA,0.999629135132044,0.999675493240539,0.999675493240538,0.0259764107903208,0.603262868630383,0.534168021261343,0.514950344022316,0.576627880171398,0.0815341276636904,0.0623504562266853,0.395172052482658,8.52198249783252e-05,0.0475504758218535,0.571444773656361,0.335172743508855,0.113254125368194,0.0475504758218535,0.0934301745825817,0.0259282849704523,0.0259282849704523,0.0934301745825817,0.261295039686977,0.0715192985044772,0.357148343306802,0.323285042690084,0.0259764107903208,0.0259764107903208,0.175817053113308,0.234840253439902,0.125043861313812,0.488622742822543,0.286062638699576,0.11755999050506,0.124903530525955,0.124903530525955,0.124903530525955,0.124903530525955,0.0899885921029591,0.124903530525955,0.124903530525955,0.124903530525955,0.124903530525955,0.124903530525955,0.156131395038572,0.107066229138842,0.107066229138842,0.107066229138842,0.166735355712541,0.107066229138842,0.107066229138842,0.107066229138842,0.107066229138842,0.156131395038572,0.156131395038572,0.156131395038572,0.156131395038572,0.156131395038572,0.227865940370842,0.0506907011760503,0.124903530525955,0.124903530525955,0.124903530525955,0.0781785493517164,0.0259764107903208,0.0947359944353274,0.0259764107903208,0.0259764107903208,0.129537458205096,0.343627413488592,0.0259764107903208,0.0259764107903208,0.147729347400543,0.210418702830719,0.179689914469049,0.210589525392869,0.124903530525955,0.0659892520079047,0.00737057111951826,0.00393164656397411,0.0623936247156724,0.017817128194488,0.227865940370842,0.107086412673115,0.12110069504721,0.0977623281732588,0.285678254644396,0.220859103079294,0.220859103079294,0.285614861943769,0.0815049203403466,0.250159530555909,0.1666434005035,0.050587841473026,0.0357099830183342,0.050587841473026,0.0624272099191657,0.0624272099191657,0.0624272099191657,0.196474137105641,0.0132491699123618,0.0108843130501425,0.11755999050506,0.0947359944353274,0.0624877643025831,0.21867055319887,0.017817128194488,0.22089435074236,0.196474137105641,0.0624717456500335,0.0624717456500335,0.196567292105647,0.0624372218431314,0.196567292105647,0.142784930776836,0.437696067600656,0.0624372218431314,0.234789462937061,0.0815726875573279,0.0475504758218535,0.0475504758218535,0.180671919311741,0.1428227735149,0.0734284279038847,0.285694195641391,0.0624890507062878,0.179563201196954,0.0852356165221701,0.161463520426649,0.187524533978691,0.196491916220024,0.050587841473026,0.0277972336745671,0.285643524273831,0.0624717456500335,0.0322030508386665,0.0577498509629114,0.142814630447143,0.0322030508386665,0.0159601553248813,0.357147282467534,0.0623936247156724,0.0623936247156724,0.0623936247156724,0.0623936247156724,0.386968863455613,0.227865940370842,0.0624912356203515,0.428605916978382,0.0218290047173716,0.670196119362656,0.403416295747986,0.309297644188231,0.15584351388329,0.610484250217753,0.399907385656582,0.196305649247078,0.472578244851561,0.258142280466839,0.00721751427462062,0.415559091423343,0.161463520426649,0.670196119362656
"g.2",NA,NA,NA,NA,0.999629135132044,0.999629135132044,0.22089435074236,0.375008737323614,0.510945814121541,0.306364031446901,0.585314481101087,0.183678478705074,0.330305011323366,0.515990479909154,0.124903530525955,0.0109993060284024,0.6250097720412,0.00705957939231101,0.0301852133518774,0.0659892520079047,0.0624890507062878,0.0340919381633029,0.0340919381633029,0.0624890507062878,0.15581816309182,0.0624864156232061,0.437505177360467,0.407901941005261,0.0259764107903208,0.0259764107903208,0.206829518846513,0.330493063044604,0.142820736077376,0.610424438819679,0.375309555630053,0.117573505935893,0.142796035230547,0.142796035230547,0.142796035230547,0.142796035230547,0.108345677906383,0.142796035230547,0.142796035230547,0.142796035230547,0.142796035230547,0.142796035230547,0.14280611639105,0.0815341276636904,0.0815341276636904,0.0815341276636904,0.206390581062015,0.0815341276636904,0.0815341276636904,0.0815341276636904,0.0815341276636904,0.14280611639105,0.14280611639105,0.14280611639105,0.14280611639105,0.14280611639105,0.243855452799934,0.0472032489254297,0.142796035230547,0.142796035230547,0.142796035230547,0.0932022720041522,0.0259764107903208,0.113254125368194,0.0259764107903208,0.0259764107903208,0.158136822316634,0.464366251307078,0.0259764107903208,0.0259764107903208,0.220843340723151,0.323285042690084,0.26333993670349,0.210418702830719,0.285568256926576,0.10711535294846,0.0545656249433425,0.00393164656397411,0.0623936247156724,0.140507284610668,0.495777116896308,0.21867055319887,0.0624372218431314,0.0154078977472879,0.166735355712541,0.147610375258194,0.147610375258194,0.27074285526256,0.0815049203403466,0.343627413488592,0.27074285526256,0.114245293844092,0.1428227735149,0.114245293844092,0.0624272099191657,0.0624272099191657,0.0624272099191657,0.296915555667108,0.111761602339219,0.134713416053946,0.243855452799934,0.113254125368194,0.0624877643025831,0.107086412673115,0.0624902212045414,0.1476183700784,0.296915555667108,0.196474137105641,0.196474137105641,0.387854320403248,0.0624372218431314,0.0818219126288209,0.249934654997691,0.357369238159228,0.129423893910239,0.196491916220024,0.0892864663288145,0.0659892520079047,0.0659892520079047,0.172797495762562,0.142860139013436,0.0977623281732588,0.249925896251266,0.0108843130501425,0.196463816236457,0.0413644128543297,0.266233061756071,0.428573308574446,0.46434553256857,0.114245293844092,0.0971400079157423,0.285720042515869,0.464399728963372,0.0928197408030604,0.00621449743929932,0.17509657620645,0.0928197408030604,0.0413644128543297,0.375010550798501,0.0623936247156724,0.0623936247156724,0.0623936247156724,0.0623936247156724,0.533174485028979,0.243855452799934,0.0260685326110197,0.500040171150271,0.0218290047173716,0.278836490629084,0.415559091423343,0.396826351510022,0.0135732275661728,0.488636387097499,0.249941278577989,0.540599080202413,0.397204579212593,0.206829518846513,0.117573505935893,0.147610375258194,0.0218290047173716,0.278836490629084
"g.3",NA,NA,NA,NA,NA,0.933809422874429,0.998843803959303,0.602062551310689,0.999624044764889,0.900642497672174,0.695808593339404,0.515901985272887,0.17851780770533,0.167049512921194,0.123354166589138,0.267552466214434,0.49037359662913,0.492591251801173,0.0594729131580257,0.0188456739593476,0.0131605374962207,0.0901452042368839,0.0901452042368839,0.0131605374962207,0.373165854704538,0.0711545583881456,0.363564534076235,0.329767009826721,0.998843803959303,0.998843803959303,0.610038462219303,0.271448643150868,0.15078566736793,0.552660801388073,0.433872861762028,0.129984274145604,0.233317670181263,0.233317670181263,0.233317670181263,0.233317670181263,0.207572316933047,0.233317670181263,0.233317670181263,0.233317670181263,0.233317670181263,0.233317670181263,0.178690103675256,0.139401100344203,0.139401100344203,0.139401100344203,0.0553456722404594,0.139401100344203,0.139401100344203,0.139401100344203,0.139401100344203,0.178690103675256,0.178690103675256,0.178690103675256,0.178690103675256,0.178690103675256,0.324148331090299,0.177766641024649,0.233317670181263,0.233317670181263,0.233317670181263,0.207266942288983,0.998843803959303,0.121143930333957,0.998843803959303,0.998843803959303,0.238600030674267,0.426575915998518,0.998843803959303,0.998843803959303,0.00418018423964373,0.222021942905461,0.087508227524412,0.598585256912019,0.233317670181263,0.00771567786252762,0.0245548323171235,0.0514337385277241,0.0604619712437104,0.00146294509093874,0.0328546417591109,0.00146294509093874,0.207539993344731,0.238385637907599,0.406547350724297,0.188973772855384,0.188973772855384,0.544814275502897,0.0890923328100899,0.458070367810758,0.39522442113637,0.106538835280438,0.098052724118117,0.106538835280438,0.300332321798432,0.300332321798432,0.300332321798432,0.998129235508498,0.329767009826721,0.21618453040484,0.0999291182618333,0.0594729131580257,0.085192638675776,0.0433898373615219,0.36397430882029,0.304633806109989,0.0432239295896339,0.998129235508498,0.998129235508498,0.998129235508494,0.255979650974491,0.998129235508494,0.998908095338736,0.235189811143701,0.284821231537212,0.0541988722946009,0.172314283626759,0.123455301219665,0.123455301219665,0.0043037530350024,0.172314283626759,0.217552902533938,0.118587676226051,0.115393175757146,0.17851780770533,0.0414529009700525,0.113212571677386,0.0139237164567369,0.0894065475305674,0.0177435184439804,0.0871075466379072,0.358029548777818,0.68129929793235,0.0143818649476031,0.090670973029756,0.0425364497699854,0.0143818649476031,0.0864240115355349,0.467209379954915,0.178294246471552,0.178294246471552,0.178294246471552,0.178294246471552,0.283737835663953,0.226988958036785,0.178826016519126,0.320457791312749,0.0709972627198096,0.569788215227174,0.329165863797133,0.175455218371909,0.149222906704311,0.63021271026667,0.463592273308424,0.0604619712437104,0.568306172476754,0.282249342593444,0.250494379033575,0.509054572098422,0.0279092608834292,0.569788215227174
"g.4",NA,NA,NA,NA,NA,NA,0.147849748633592,0.652684937306242,0.592242247424731,0.554517801241416,0.549850528349179,0.107147355528069,0.127916294971584,0.268573129758028,0.0698928676174075,0.0884513337780896,0.531271671625427,0.514953547580636,0.11099686715051,0.0884513337780896,0.0985691377559261,0.00565629150252567,0.00565629150252567,0.0985691377559261,0.218755498236898,0.0624815397727801,0.41413677853425,0.383263684468637,0.147849748633592,0.147849748633592,0.278829382441948,0.330216848879589,0.0697680722878845,0.524302920919532,0.479396858939337,0.076568188439437,0.185947266530717,0.185947266530717,0.185947266530717,0.185947266530717,0.156018826399879,0.185947266530717,0.185947266530717,0.185947266530717,0.185947266530717,0.185947266530717,0.127895664785886,0.086403965351632,0.086403965351632,0.086403965351632,0.160264613294675,0.086403965351632,0.086403965351632,0.086403965351632,0.086403965351632,0.127895664785886,0.127895664785886,0.127895664785886,0.127895664785886,0.127895664785886,0.281729046130933,0.117415742346921,0.185947266530717,0.185947266530717,0.185947266530717,0.145797947482865,0.147849748633592,0.0978299170138826,0.147849748633592,0.147849748633592,0.127898566134436,0.302266073639229,0.147849748633592,0.147849748633592,0.107138552649787,0.173713702353842,0.182417349726397,0.136574794277612,0.185947266530717,0.0986072912218282,0.0282115243355508,0.0478382467199001,0.00335985287756343,0.121116031008573,0.281729046130933,0.121116031008573,0.0733970143473985,0.0749223803137522,0.218658688538773,0.254219767083294,0.254219767083294,0.218620619703923,0.163099227780852,0.179842987437099,0.0885739633996288,0.0646387930898648,0.0624850767590019,0.0646387930898648,0.127750705516867,0.127750705516867,0.127750705516867,0.121142820283133,0.0820621646445798,0.0608434161219931,0.076568188439437,0.0377064578157222,0.0656239044549271,0.200649517064195,0.0233954771035681,0.147849748633592,0.121142820283133,0.1278466571598,0.1278466571598,0.252605659677491,0.0478382467199001,0.252605659677491,0.0624231524349968,0.476926976495792,0.0478382467199001,0.163018175986539,0.129423893910239,0.0884513337780896,0.0884513337780896,0.172812175269011,0.19645051789674,0.113260324533024,0.296878945484362,0.0608434161219931,0.127916294971584,0.0853002298844121,0.0828570821934913,0.127904949750217,0.127898566134436,0.0646387930898648,0.0956064093252481,0.330522848579975,0.121142820283133,0.092684801336072,0.00500660449354006,0.156325758355844,0.092684801336072,0.0584069294362398,0.374954825419421,0.00335985287756343,0.00335985287756343,0.00335985287756343,0.00335985287756343,0.238393957691567,0.179112359401245,0.127894890262655,0.375029481549338,0.0140451474043491,0.639349853316983,0.28638809786909,0.243304470758002,0.0756593864847969,0.573983351075394,0.343633659390412,0.25237099170275,0.400461140954002,0.278829382441948,0.076568188439437,0.467276894228623,0.184926306070004,0.639349853316983
"g.5",NA,NA,NA,NA,NA,NA,NA,0.495039059528431,0.737740345083919,0.999264964859413,0.779792294223755,0.873608744266624,0.997876075685379,0.690087815676238,0.545942445105787,0.999128646435027,0.318720047454856,0.138852135354141,0.998828179688483,0.621242675404834,0.475624791724774,0.586821508511493,0.586821508511493,0.475624791724774,0.998970218514121,0.998867240365534,0.658721866075927,0.998211432156106,0.893502626364976,0.893502626364976,0.860696689457168,0.997572657926144,0.999244826910356,0.380756876907083,0.243758606688866,0.198120493907482,0.545942445105787,0.545942445105787,0.545942445105787,0.545942445105787,0.52776653590161,0.545942445105787,0.545942445105787,0.545942445105787,0.545942445105787,0.545942445105787,0.658721866075927,0.350824818864062,0.350824818864062,0.350824818864062,0.999292025228459,0.350824818864062,0.350824818864062,0.350824818864062,0.350824818864062,0.658721866075927,0.658721866075927,0.658721866075927,0.658721866075927,0.658721866075927,0.198120493907482,0.159687385301697,0.545942445105787,0.545942445105787,0.545942445105787,0.534947491635828,0.893502626364976,0.999261243716654,0.893502626364976,0.893502626364976,0.756203024263032,0.658721866075927,0.893502626364976,0.893502626364976,0.837467268060771,0.640768116179956,0.841248180704563,0.756439199531082,0.545942445105787,0.82496228678421,0.667419263304693,0.78667294888812,0.0262522539934278,0.715582010816892,0.529870788375055,0.715582010816892,0.573913957836665,0.63147626151422,0.431908740991214,0.689735213794895,0.689735213794895,0.521618915411738,0.997572657926144,0.380043572403596,0.162633825422368,0.290911874217181,0.488622742822543,0.290911874217181,0.242412525449419,0.242412525449419,0.242412525449419,0.560583240013846,0.513073453308578,0.443503029085437,0.177074818541806,0.29463818621127,0.269445011145523,0.465327851457597,0.732603183033288,0.254256652316208,0.149099477116944,0.999140854567353,0.999140854567353,0.999140854567352,0.524302920919532,0.999140854567352,0.648480427393911,0.648480427393911,0.682883147717617,0.756203024263032,0.1476183700784,0.125785171572544,0.125785171572544,0.398373611412368,0.0259764107903208,0.461706303944878,0.54551810833007,0.475624791724774,0.148004522905638,0.252989866574828,0.110614765557128,0.545447007607585,0.709861463581443,0.19947922808294,0.495039059528431,0.0259020455568823,0.414055572726766,0.340148124086848,0.543975650940029,0.726955306349398,0.340148124086848,0.751151333198215,0.394034392110121,0.513435863372698,0.513435863372698,0.513435863372698,0.513435863372698,0.997283058887982,0.998001012409766,0.689735213794895,0.0911956448323073,0.110614765557128,0.475929708498974,0.689735213794895,0.998235279727358,0.552760296380061,0.380322511331413,0.181771590162438,0.105743197905562,0.573913957836665,0.475624791724774,0.294699637273245,0.22812838531202,0.703220226474955,0.997385939305081
"g.6",NA,NA,NA,NA,NA,NA,NA,NA,0.999590743725823,0.619303977821021,0.731187358477567,0.181548986036155,0.41409616384169,0.462484696463865,0.815093776206415,0.287804610757209,0.722394160064095,0.146355270489067,0.214978090569883,0.358982451897575,0.158722405506001,0.27239151050487,0.27239151050487,0.158722405506001,0.242352358110348,0.0740977145486219,0.0279150802607603,0.122687016397334,0.747175616454756,0.747175616454756,0.572493190013185,0.40477580469679,0.44431434748252,0.495039059528342,0.131816773774305,0.183163920712502,0.444502366507328,0.444502366507328,0.444502366507328,0.444502366507328,0.424796399346891,0.444502366507328,0.444502366507328,0.444502366507328,0.444502366507328,0.444502366507328,0.305606807983071,0.20653725184003,0.20653725184003,0.20653725184003,0.691217853595659,0.20653725184003,0.20653725184003,0.20653725184003,0.20653725184003,0.305606807983071,0.305606807983071,0.305606807983071,0.305606807983071,0.305606807983071,0.509987214200235,0.285435070324532,0.444502366507328,0.444502366507328,0.444502366507328,0.407079315420855,0.747175616454756,0.616767794756845,0.747175616454756,0.747175616454756,0.603089826014659,0.444503618935195,0.747175616454756,0.747175616454756,0.495010812191302,0.415233281644813,0.479255589117565,0.853984370010412,0.444502366507328,0.382719643050869,0.346408853056386,0.483208176192221,0.00809765798458636,0.0234303945636613,0.509987214200235,0.0885482132191657,0.22480875489436,0.122916816060954,0.176995637389498,0.24232776188019,0.24232776188019,0.382898150381366,0.107003712577278,0.444503618935195,0.536823674720611,0.109207740766718,0.0476145137047104,0.109207740766718,0.305671867668002,0.305671867668002,0.305671867668002,0.652816463021169,0.707661727368111,0.465844322994187,0.346385979749179,0.0942063158916434,0.0079516173210715,0.421318660443535,0.305562498545306,0.147528211408466,0.414096790342731,0.652816463021169,0.652816463021169,0.99796350712261,0.160264613294675,0.603162000037699,0.06254784741201,0.722394160064095,0.0310361093688011,0.113474049335283,0.0277972336745671,0.00287869389845273,0.00287869389845273,0.119142665901534,0.0971400079157423,0.0239178341641575,0.135868166967055,0.038533725527909,0.0234180513836,0.189255060689931,0.0489206911757514,0.0740842361120607,0.054377332933207,0.0870890225850841,0.176995637389498,0.0327363066384202,0.218630548780204,0.179320047425038,0.142066462864037,0.187500295333229,0.179320047425038,0.149933742332255,0.0123579659835741,0.603168114292521,0.603168114292521,0.603168114292521,0.603168114292521,0.0865721796027747,0.346385979749179,0.368591741232279,0.0738285238562882,0.275338345597343,0.399029737152558,0.495081763011406,0.0873700224270155,0.0767531586477744,0.573910958015488,0.500015275571881,0.107003712577278,0.305559884371265,0.399021825822949,0.0197654926506127,0.218745588192789,0.320656506454365,0.639323558833619
"g.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999761016638091,0.57909222217495,0.244506574291814,0.796499645521923,0.110681265352945,0.230791036534182,0.08019983525867,0.567465071937454,0.295457062570454,0.550060496063567,0.365948085235486,0.247449730700471,0.407154030691572,0.407154030691572,0.247449730700471,0.209634548600457,0.130567016058593,0.134623009593547,0.164987439393718,0.86874094566959,0.86874094566959,0.667313131768454,0.278834116887253,0.34781824125646,0.703220226474955,0.0382508382931038,0.232723296633342,0.130419180677543,0.130419180677543,0.130419180677543,0.130419180677543,0.0940520544158871,0.130419180677543,0.130419180677543,0.130419180677543,0.130419180677543,0.130419180677543,0.184786532633446,0.223605867044453,0.223605867044453,0.223605867044453,0.388600074172261,0.223605867044453,0.223605867044453,0.223605867044453,0.223605867044453,0.184786532633446,0.184786532633446,0.184786532633446,0.184786532633446,0.184786532633446,0.232723296633342,0.19670696554233,0.130419180677543,0.130419180677543,0.130419180677543,0.107248425357916,0.86874094566959,0.432895525315047,0.86874094566959,0.86874094566959,0.0286866975191028,0.510748864882216,0.86874094566959,0.86874094566959,0.301353607176334,0.141828332785557,0.165720767409489,0.696417321509681,0.130419180677543,0.247445786476871,0.204777135628779,0.592242247424755,0.301264751254701,0.0489595028634345,0.151603466797364,0.184693162276075,0.4904996590459,0.29484163263494,0.32065650645419,0.147728183464049,0.147728183464049,0.439069839879831,0.301264751254701,0.422975171171598,0.439069839879831,0.0812517069969493,0.0218290047173709,0.0812517069969493,0.278834542113409,0.278834542113409,0.278834542113409,0.819874282139529,0.468717955835984,0.334521961502784,0.151603466797364,0.325341160541136,0.068439817916757,0.232746480524402,0.360623679641167,0.0821040049725898,0.592305459349866,0.819874282139529,0.819874282139529,0.998942590236741,0.165720767409489,0.793937149399739,0.42302253451855,0.42302253451855,0.317567851791577,0.068439817916757,0.184658229845049,0.163761909258278,0.163761909258278,0.136802652583946,0.103185433230122,0.313406255609758,0.0217190172988952,0.247449730700471,0.388730827312155,0.139101597655361,0.0593417801707069,0.130567016058593,0.0286866975191028,0.0384638885911545,0.0489206911757514,0.107142220043368,0.0985302075761585,0.0532741091183961,0.125988485786125,0.0216976399672559,0.0532741091183961,0.166771294638127,0.275412557171639,0.0727312561193022,0.0727312561193022,0.0727312561193022,0.0727312561193022,0.643939648877083,0.232723296633342,0.0165226291411246,0.230791036534182,0.0593417801707069,0.247362590856596,0.110493779331567,0.00721670751903141,0.0323851009631698,0.407159960570107,0.478377370867961,0.301264751254701,0.592242247424755,0.498475414536173,0.151603466797364,0.0165226291411246,0.716424507075828,0.749301596828429
"g.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539699993715293,0.464476171027684,0.302128234702334,0.0300851317386467,0.301167657145733,0.176954576201647,0.677668520121035,0.625473427774181,0.375843852604083,0.281885147129928,0.0989731544319965,0.294342309336033,0.294342309336033,0.0989731544319965,0.374385929529147,0.189974870987081,0.108930636626856,0.0614259715011713,0.999264964859413,0.999264964859413,0.57243256632458,0.190296896877965,0.290771009048913,0.474588000801965,0.099041603410615,0.0221333958770926,0.0683116414052964,0.0683116414052964,0.0683116414052964,0.0683116414052964,0.0690331818839862,0.0683116414052964,0.0683116414052964,0.0683116414052964,0.0683116414052964,0.0683116414052964,0.175154119557779,0.0869140442953275,0.0869140442953275,0.0869140442953275,0.373444113599616,0.0869140442953275,0.0869140442953275,0.0869140442953275,0.0869140442953275,0.175154119557779,0.175154119557779,0.175154119557779,0.175154119557779,0.175154119557779,0.0221333958770926,0.0174499151277095,0.0683116414052964,0.0683116414052964,0.0683116414052964,0.0824892980300049,0.999264964859413,0.365251668935746,0.999264964859413,0.999264964859413,0.0981858735726703,0.175154119557779,0.999264964859413,0.999264964859413,0.365297820070434,0.0978583400581356,0.256203057298554,0.814716687688551,0.0721031597077721,0.27170248615174,0.218451280996453,0.518677685657975,0.195687385266323,0.242366857990197,0.287028569106106,0.242366857990197,0.354002063411481,0.230351668878124,0.222622673421184,0.116540086649729,0.116540086649729,0.463354605835499,0.256312744213308,0.436743587238099,0.372502649753585,0.0885904276148431,0.157218992179392,0.0885904276148431,0.259244543773401,0.259244543773401,0.259244543773401,0.998810688159607,0.544167967051883,0.313861845750907,0.287028569106106,0.0685683592051596,0.164307253434136,0.183106187269936,0.328760976119371,0.115557614629096,0.34923704615392,0.998810688159607,0.998810688159607,0.998810688159604,0.193878240681866,0.998810688159604,0.515521972851988,0.677668520121035,0.380821670576039,0.164307253434136,0.0384214778993767,0.0131678753240355,0.0131678753240355,0.130637395392475,0.00310154826977383,0.154589582078976,0.133277934374119,0.233612862812929,0.350353220328062,0.053468691030581,0.0411060246145972,0.0110232997105195,0.0981858735726703,0.0242451615849131,0.0970440562104178,0.0738537606534098,0.189336175729376,0.076275581997405,0.190784767764303,0.167695075113056,0.076275581997405,0.242953863829651,0.171574363154655,0.190296896877965,0.190296896877965,0.190296896877965,0.190296896877965,0.344130289341265,0.0221333958770926,0.00675086925825302,0.301167657145733,0.0841573199750346,0.19864197497487,0.0525840748042423,0.142932395058462,0.0629599705024941,0.291660482558621,0.238182396889166,0.12509351556014,0.494106566354356,0.37233374886835,0.334773384889819,0.18307300552905,0.286955113570402,0.3451358767487
