,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND14,IND15,IND16,IND17,IND18,IND19,IND20,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND30,IND31,IND32,IND33,IND34,IND35,IND36,IND37,IND38,IND39,IND40,IND41,IND42,IND43,IND44,IND45,IND46,IND47,IND48,IND49,IND50,IND51,IND52,IND53,IND54,IND55,IND56,IND57,IND58,IND59,IND60,IND61,IND62,IND63,IND64,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND78,IND79,IND80,IND81,IND82,IND83,IND84,IND85,IND86,IND87
JHI_Hv50k_2016_4260,A,B,-,B,B,A,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,A,-,B,B,-,A,-,A,B,A,A,A,-,B,B,B,A,B,A,A,B,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,-,-,A,B,-,A,A,A,A,B,A,B,A,A,B,B
JHI_Hv50k_2016_4712,-,B,-,B,B,A,A,-,B,B,B,-,A,A,A,B,B,A,B,A,A,-,-,A,-,B,-,A,B,-,B,A,-,B,B,-,A,-,A,B,-,-,-,A,-,B,B,A,B,-,-,B,B,B,A,B,-,A,B,-,B,B,-,A,B,A,B,A,B,A,B,-,-,A,B,-,-,-,-,-,B,-,B,A,A,B,-
JHI_Hv50k_2016_4713,A,B,-,B,B,A,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,A,-,B,B,A,A,-,A,B,A,A,A,-,B,B,B,A,B,A,A,B,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,-,B,A,B,-,A,A,A,A,B,A,B,A,A,B,-
JHI_Hv50k_2016_5180,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,A,-,B,B,-,A,-,A,B,A,A,A,A,B,B,B,A,B,A,A,-,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,-,-,A,B,-,A,A,A,A,B,A,B,A,A,B,B
JHI_Hv50k_2016_6092,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,B,-,B,B,B,A,-,A,B,A,A,A,A,B,B,B,A,B,A,A,B,-,B,A,B,A,A,B,A,B,-,A,A,B,A,B,A,B,A,B,-,B,A,B,-,A,A,A,A,B,A,B,A,A,B,B
JHI_Hv50k_2016_6373,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,B,-,B,-,-,A,-,A,B,A,A,A,-,-,B,B,A,B,A,A,A,A,B,A,B,A,A,B,A,-,B,A,A,B,A,B,A,-,A,B,-,-,B,B,-,A,A,A,A,B,A,B,A,A,-,-
JHI_Hv50k_2016_6438,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,B,-,B,-,-,A,-,A,B,A,A,A,A,B,B,B,A,B,A,A,-,-,B,A,B,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,-,-,A,B,-,A,A,A,A,B,A,B,A,A,-,B
JHI_Hv50k_2016_7423,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,B,-,B,B,B,A,-,A,B,A,A,A,A,B,B,B,A,B,A,A,-,B,B,A,B,A,A,B,A,B,B,B,A,A,A,B,A,B,A,B,-,A,B,B,-,A,A,A,A,B,A,B,A,A,A,-
JHI_Hv50k_2016_7618,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,B,-,B,B,-,A,-,A,B,A,A,A,A,B,B,-,A,B,A,A,B,B,B,A,B,A,A,B,A,B,A,B,A,A,A,B,A,B,A,B,-,A,B,B,-,A,A,A,A,B,A,B,A,A,A,-
JHI_Hv50k_2016_7619,A,B,-,B,B,B,A,A,B,B,B,-,A,A,A,B,B,A,B,A,A,A,A,A,-,B,A,A,B,A,B,B,-,B,B,B,A,-,A,B,A,A,A,-,B,B,B,A,B,A,A,B,B,B,A,B,A,A,B,A,B,B,B,A,B,A,B,A,B,A,B,-,A,B,B,-,A,A,A,A,B,A,B,A,A,-,B
