,IND1,IND3,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND31,IND32,IND33,IND34,IND36,IND37_IND57,IND38,IND41,IND42,IND44,IND48,IND49,IND50,IND52,IND53,IND60,IND61,IND62,IND63,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND87,IND88,IND89,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND102
JHI-Hv50k-2016-265391,AA,AA,BB,BB,BB,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,AA,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,-,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,AA,BB
JHI-Hv50k-2016-7619,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,-
JHI-Hv50k-2016-7423,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-7618,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-8609,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-8710,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,BB,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,BB,BB,AA,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,AA
JHI-Hv50k-2016-6373,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,-,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,-,BB,AA,AA,BB,AA,BB,AA,-,AA,BB,-,BB,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,-
JHI-Hv50k-2016-6438,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,-,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,-
JHI-Hv50k-2016-6092,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,-,AA,AA,BB,AA,BB,AA,BB,AA,BB,BB,AA,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB
JHI-Hv50k-2016-5180,AA,BB,BB,BB,BB,AA,AA,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,AA,BB,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,AA,BB,AA,BB,-,AA,BB,AA,AA,AA,AA,BB,AA,BB,AA,AA,BB
