mrk_names,chrom,pos
M_E_5,1H,0
M_E_6,1H,4.0117096057243655
JHI-Hv50k-2016-37481,1H,9.514636290217826
JHI-Hv50k-2016-37484,1H,9.514636290217826
JHI-Hv50k-2016-30997,1H,21.74755933848741
JHI-Hv50k-2016-26496,1H,24.574669051061335
JHI-Hv50k-2016-20858,1H,29.74655034476445
M_E_4,1H,33.58239774266724
JHI-Hv50k-2016-18386,1H,38.401623569843494
JHI-Hv50k-2016-18385,1H,38.401623569843494
JHI-Hv50k-2016-18373,1H,38.401623569843494
JHI-Hv50k-2016-18338,1H,38.401623569843494
JHI-Hv50k-2016-18189,1H,38.401623569843494
JHI-Hv50k-2016-17893,1H,38.401623569843494
JHI-Hv50k-2016-18382,1H,38.401623569843494
JHI-Hv50k-2016-16604,1H,41.22249011499601
JHI-Hv50k-2016-16601,1H,41.22249011499601
JHI-Hv50k-2016-16559,1H,41.22249011499601
JHI-Hv50k-2016-16527,1H,41.899105633271596
JHI-Hv50k-2016-16518,1H,41.899105633271596
JHI-Hv50k-2016-16506,1H,41.899105633271596
JHI-Hv50k-2016-16495,1H,41.899105633271596
JHI-Hv50k-2016-16542,1H,42.5814524055879
JHI-Hv50k-2016-16517,1H,42.5814524055879
JHI-Hv50k-2016-16516,1H,42.5814524055879
JHI-Hv50k-2016-16514,1H,42.5814524055879
JHI-Hv50k-2016-16505,1H,42.5814524055879
JHI-Hv50k-2016-16499,1H,42.5814524055879
JHI-Hv50k-2016-16526,1H,42.5814524055879
JHI-Hv50k-2016-15963,1H,45.40856353562261
JHI-Hv50k-2016-16067,1H,46.0842803453206
JHI-Hv50k-2016-15410,1H,48.684768829546876
JHI-Hv50k-2016-15633,1H,48.684768829546876
JHI-Hv50k-2016-15348,1H,48.684768829546876
JHI-Hv50k-2016-15327,1H,48.684768829546876
JHI-Hv50k-2016-15324,1H,48.684768829546876
JHI-Hv50k-2016-15322,1H,48.684768829546876
JHI-Hv50k-2016-15254,1H,48.684768829546876
JHI-Hv50k-2016-15222,1H,49.716045807580365
JHI-Hv50k-2016-15183,1H,49.716045807580365
JHI-Hv50k-2016-15198,1H,50.76115010023324
JHI-Hv50k-2016-15068,1H,51.78727465514899
JHI-Hv50k-2016-15051,1H,51.78727465514899
JHI-Hv50k-2016-14760,1H,52.54695486207647
JHI-Hv50k-2016-15134,1H,52.54695486207647
JHI-Hv50k-2016-15129,1H,52.54695486207647
JHI-Hv50k-2016-15127,1H,53.32570865224849
JHI-Hv50k-2016-14418,1H,56.202497175652475
JHI-Hv50k-2016-13582,1H,56.202497175652475
M_E_3,1H,61.36785340972746
JHI-Hv50k-2016-13067,1H,66.8574970377342
M_E_134,1H,71.53889860821394
JHI-Hv50k-2016-11980,1H,75.9062647111698
JHI-Hv50k-2016-11911,1H,76.58198152086779
JHI-Hv50k-2016-11910,1H,76.58198152086779
JHI-Hv50k-2016-10580,1H,80.31426828262589
JHI-Hv50k-2016-10642,1H,81.92237566394871
JHI-Hv50k-2016-240857,1H,90.23050754129208
JHI-Hv50k-2016-7423,1H,108.69150716679573
JHI-Hv50k-2016-7618,1H,109.36722397649372
JHI-Hv50k-2016-8609,1H,111.45176419997
JHI-Hv50k-2016-8710,1H,112.1506895025552
JHI-Hv50k-2016-7619,1H,113.69990779210532
JHI-Hv50k-2016-6373,1H,115.83112531847172
JHI-Hv50k-2016-6438,1H,117.80324497267901
JHI-Hv50k-2016-6092,1H,117.80324497267901
JHI-Hv50k-2016-5180,1H,119.03231465076014
JHI-Hv50k-2016-4713,1H,119.80407265750715
JHI-Hv50k-2016-4712,1H,119.80407265750715
JHI-Hv50k-2016-4260,1H,119.80407265750715
M_E_2,1H,124.16655821908678
JHI-Hv50k-2016-265391,1H,133.91433940335764
JHI-Hv50k-2016-23694,1H,0
JHI-Hv50k-2016-51452,1H,0
JHI-Hv50k-2016-45000,1H,8.67990501354189
JHI-Hv50k-2016-44962,1H,9.355621833358642
JHI-Hv50k-2016-43075,1H,14.78567756622727
JHI-Hv50k-2016-43206,1H,16.66000035517704
M_E_12,1H,18.057244152178985
JHI-Hv50k-2016-42947,1H,20.20816294849631
JHI-Hv50k-2016-42730,1H,20.20816294849631
M_E_11,1H,20.20816294849631
JHI-Hv50k-2016-42633,1H,21.44920235568108
JHI-Hv50k-2016-42564,1H,21.44920235568108
JHI-Hv50k-2016-42425,1H,22.651223328788888
JHI-Hv50k-2016-42419,1H,22.651223328788888
JHI-Hv50k-2016-41684,1H,24.36272167582058
JHI-Hv50k-2016-41455,1H,24.36272167582058
JHI-Hv50k-2016-40920,1H,24.36272167582058
JHI-Hv50k-2016-40820,1H,24.36272167582058
JHI-Hv50k-2016-42086,1H,24.36272167582058
JHI-Hv50k-2016-41402,1H,27.344320876908
JHI-Hv50k-2016-40035,1H,29.898316399060676
JHI-Hv50k-2016-39949,1H,29.898316399060676
JHI-Hv50k-2016-39689,1H,29.898316399060676
JHI-Hv50k-2016-39669,1H,29.898316399060676
JHI-Hv50k-2016-39666,1H,29.898316399060676
JHI-Hv50k-2016-39438,1H,29.898316399060676
JHI-Hv50k-2016-39410,1H,29.898316399060676
JHI-Hv50k-2016-39082,1H,29.898316399060676
JHI-Hv50k-2016-38935,1H,29.898316399060676
JHI-Hv50k-2016-38928,1H,29.898316399060676
JHI-Hv50k-2016-38905,1H,29.898316399060676
JHI-Hv50k-2016-38903,1H,29.898316399060676
JHI-Hv50k-2016-38897,1H,29.898316399060676
JHI-Hv50k-2016-38514,1H,29.898316399060676
JHI-Hv50k-2016-38350,1H,29.898316399060676
JHI-Hv50k-2016-38307,1H,29.898316399060676
JHI-Hv50k-2016-38306,1H,29.898316399060676
JHI-Hv50k-2016-38230,1H,29.898316399060676
JHI-Hv50k-2016-38196,1H,29.898316399060676
JHI-Hv50k-2016-38167,1H,29.898316399060676
JHI-Hv50k-2016-38165,1H,29.898316399060676
JHI-Hv50k-2016-38105,1H,29.898316399060676
JHI-Hv50k-2016-38080,1H,29.898316399060676
M_E_8,1H,33.62535781953036
M_E_7,1H,33.62535781953036
M_E_10,1H,35.233696173219336
M_E_9,1H,36.31064023304824
JHI-Hv50k-2016-47604,1H,0
JHI-Hv50k-2016-47319,1H,5.16535623407498
JHI-Hv50k-2016-47291,1H,5.16535623407498
JHI-Hv50k-2016-57940,1H,0
JHI-Hv50k-2016-56112,1H,3.4231778463399114
JHI-Hv50k-2016-55854,1H,3.4231778463399114
JHI-Hv50k-2016-56771,1H,4.903321854993309
JHI-Hv50k-2016-56768,1H,4.903321854993309
JHI-Hv50k-2016-56738,1H,4.903321854993309
JHI-Hv50k-2016-56727,1H,4.903321854993309
JHI-Hv50k-2016-56558,1H,4.903321854993309
JHI-Hv50k-2016-56496,1H,4.903321854993309
JHI-Hv50k-2016-56387,1H,4.903321854993309
JHI-Hv50k-2016-56366,1H,4.903321854993309
JHI-Hv50k-2016-56239,1H,4.903321854993309
JHI-Hv50k-2016-55395,1H,4.903321854993309
JHI-Hv50k-2016-55455,1H,6.370843474632026
JHI-Hv50k-2016-55454,1H,6.370843474632026
JHI-Hv50k-2016-55371,1H,6.370843474632026
JHI-Hv50k-2016-55187,1H,6.370843474632026
JHI-Hv50k-2016-55169,1H,8.891699631210788
JHI-Hv50k-2016-55106,1H,9.9341430675181
JHI-Hv50k-2016-55006,1H,9.9341430675181
JHI-Hv50k-2016-54979,1H,9.9341430675181
JHI-Hv50k-2016-53930,1H,13.170785400263531
JHI-Hv50k-2016-53916,1H,13.170785400263531
JHI-Hv50k-2016-53290,1H,18.36066206585389
JHI-Hv50k-2016-53255,1H,18.36066206585389
JHI-Hv50k-2016-52321,1H,23.42673911380499
JHI-Hv50k-2016-52253,1H,23.42673911380499
M_E_13,1H,27.77374134810102
JHI-Hv50k-2016-51979,1H,33.08787079164925
JHI-Hv50k-2016-51945,1H,33.08787079164925
JHI-Hv50k-2016-51027,1H,36.86420588741891
JHI-Hv50k-2016-51025,1H,36.86420588741891
JHI-Hv50k-2016-51019,1H,36.86420588741891
JHI-Hv50k-2016-50954,1H,36.86420588741891
JHI-Hv50k-2016-50304,1H,36.86420588741891
JHI-Hv50k-2016-50280,1H,36.86420588741891
JHI-Hv50k-2016-50111,1H,56.1448476725796
JHI-Hv50k-2016-49930,1H,56.1448476725796
JHI-Hv50k-2016-58046,1H,68.91548826672937
JHI-Hv50k-2016-56745,1H,70.28569417910424
JHI-Hv50k-2016-56440,1H,70.28569417910424
JHI-Hv50k-2016-56556,1H,71.65614858273264
M_E_32,2H,0
JHI-Hv50k-2016-124927,2H,6.1858239499500085
JHI-Hv50k-2016-124930,2H,6.1858239499500085
JHI-Hv50k-2016-124974,2H,6.1858239499500085
JHI-Hv50k-2016-124924,2H,6.1858239499500085
JHI-Hv50k-2016-190340,2H,6.1858239499500085
JHI-Hv50k-2016-124796,2H,7.197535399495111
JHI-Hv50k-2016-126274,2H,8.939344337785627
JHI-Hv50k-2016-119113,2H,23.352572634747784
JHI-Hv50k-2016-118494,2H,24.695090214052254
JHI-Hv50k-2016-118583,2H,25.37084035109649
JHI-Hv50k-2016-119116,2H,25.37084035109649
JHI-Hv50k-2016-115889,2H,26.04655716079447
JHI-Hv50k-2016-116068,2H,26.04655716079447
JHI-Hv50k-2016-116385,2H,26.04655716079447
JHI-Hv50k-2016-116466,2H,26.04655716079447
JHI-Hv50k-2016-116577,2H,26.04655716079447
JHI-Hv50k-2016-116579,2H,26.04655716079447
JHI-Hv50k-2016-116581,2H,26.04655716079447
JHI-Hv50k-2016-116742,2H,26.04655716079447
JHI-Hv50k-2016-116864,2H,26.04655716079447
JHI-Hv50k-2016-116867,2H,26.04655716079447
JHI-Hv50k-2016-116907,2H,26.04655716079447
JHI-Hv50k-2016-116922,2H,26.04655716079447
JHI-Hv50k-2016-117081,2H,26.04655716079447
JHI-Hv50k-2016-117198,2H,26.04655716079447
JHI-Hv50k-2016-117333,2H,26.04655716079447
JHI-Hv50k-2016-117361,2H,26.04655716079447
JHI-Hv50k-2016-117510,2H,26.04655716079447
JHI-Hv50k-2016-117516,2H,26.04655716079447
JHI-Hv50k-2016-119243,2H,26.04655716079447
JHI-Hv50k-2016-119256,2H,26.04655716079447
JHI-Hv50k-2016-119259,2H,26.04655716079447
JHI-Hv50k-2016-119334,2H,26.04655716079447
JHI-Hv50k-2016-115933,2H,26.722273970492456
